"ID","symbol","log2FC","p.adjust","baseMean"
"ENSMUSG00000024743","Syt7",-1.330365422,0.000806912,50.79034081
"ENSMUSG00000094840","Muc3a",-3.204361657,0.001247515,9.592255183
"ENSMUSG00000033981","Gria2",-1.687326265,0.002920037,45.52406394
"ENSMUSG00000022263","Trio",-1.368731222,0.011981294,23.60561529
"ENSMUSG00000022935","Grik1",-1.407258009,0.011981294,9.051409639
"ENSMUSG00000025586","Cpeb1",-2.789536854,0.011981294,10.93874698
"ENSMUSG00000028207","Asph",-0.783138418,0.011981294,69.04694491
"ENSMUSG00000118193","Arhgap26",-1.037992577,0.011981294,22.50023211
"ENSMUSG00000029673","Auts2",-1.616307432,0.017375627,44.96743766
"ENSMUSG00000066438","Plekhd1",-1.260656433,0.022520742,39.52424556
"ENSMUSG00000025413","Ttc4",-1.810986837,0.023926255,7.260204318
"ENSMUSG00000022607","Ptk2",-1.700513818,0.02571379,5.83876217
"ENSMUSG00000020788","Atp2a3",-1.012475832,0.033415894,49.56812173
"ENSMUSG00000040479","Dgkz",-1.422167836,0.033415894,111.6787558
"ENSMUSG00000042213","Zfand4",-2.683370959,0.033415894,6.337993366
"ENSMUSG00000051451","Crebzf",-1.899811657,0.033415894,8.815658152
"ENSMUSG00000055567","Unc80",-1.653974605,0.033415894,6.258492278
"ENSMUSG00000017421","Zfp207",-1.423475536,0.03980999,6.451837508
"ENSMUSG00000025372","Baiap2",-0.866480721,0.03980999,24.68446292
"ENSMUSG00000071424","Grid2",-0.9113411,0.04832339,62.71999265
"ENSMUSG00000024104","Washc2",-1.029273392,0.054771167,72.38198866
"ENSMUSG00000021209","Ppp4r4",-1.434181627,0.062378283,7.175590857
"ENSMUSG00000027716","Trpc3",-0.83978421,0.066194277,33.89668803
"ENSMUSG00000032625","Thsd7a",-0.992736204,0.066194277,11.9404669
"ENSMUSG00000026425","Srgap2",-1.065503694,0.069461546,15.56532442
"ENSMUSG00000002265","Peg3",-1.281241299,0.07282398,9.610449334
"ENSMUSG00000012609","Ttll5",-1.325328985,0.07282398,11.79591677
"ENSMUSG00000016921","Srsf6",-1.601037208,0.07282398,11.37252192
"ENSMUSG00000020124","Usp15",-1.028961933,0.07282398,6.557710088
"ENSMUSG00000020577","Tspan13",-0.668478065,0.07282398,20.85206091
"ENSMUSG00000021097","Clmn",-1.385190566,0.07282398,15.89506619
"ENSMUSG00000025278","Flnb",-2.298903264,0.07282398,7.592972617
"ENSMUSG00000026585","Kifap3",-0.655059745,0.07282398,16.67080107
"ENSMUSG00000027397","Slc20a1",-1.256822086,0.07282398,43.23503137
"ENSMUSG00000028034","Fubp1",-1.430233518,0.07282398,7.74531072
"ENSMUSG00000028373","Astn2",-0.899154634,0.07282398,42.16621982
"ENSMUSG00000029330","Cds1",-0.833901605,0.07282398,14.1858513
"ENSMUSG00000032570","Atp2c1",-0.82643394,0.07282398,16.17402501
"ENSMUSG00000034156","Tspoap1",-2.264227715,0.07282398,19.28583841
"ENSMUSG00000034265","Zdhhc14",-1.115420777,0.07282398,19.92083932
"ENSMUSG00000037266","Rsrp1",-1.758088221,0.07282398,6.061546589
"ENSMUSG00000038738","Shank1",-1.35376947,0.07282398,10.66447713
"ENSMUSG00000039218","Srrm2",-1.642522094,0.07282398,9.611676374
"ENSMUSG00000041119","Pde9a",-1.446104781,0.07282398,24.29635381
"ENSMUSG00000042256","Ptchd4",-1.667294233,0.07282398,9.47674801
"ENSMUSG00000022974","Paxbp1",-2.383452561,0.079319939,35.99184284
"ENSMUSG00000030351","Tspan11",-0.871427633,0.079833482,9.495861394
"ENSMUSG00000070720","Tmem200b",-0.777319141,0.079833482,9.240539922
"ENSMUSG00000020866","Cacna1g",-0.62637781,0.083128136,64.58626473
"ENSMUSG00000025016","Tm9sf3",-0.617168605,0.083516922,7.953276401
"ENSMUSG00000037876","Jmjd1c",-1.483004502,0.085471459,6.912164542
"ENSMUSG00000061578","Ksr2",-1.067072914,0.085538941,10.88184027
"ENSMUSG00000028248","Pnisr",-1.678311006,0.086028328,15.10081574
"ENSMUSG00000029095","Ablim2",-1.155872111,0.086028328,17.20021219
"ENSMUSG00000035776","Cd99l2",-0.990733633,0.086028328,6.461013746
"ENSMUSG00000041112","Elmo1",-1.284408094,0.086028328,10.39481844
"ENSMUSG00000054901","Arhgef33",-1.249684266,0.086028328,31.70253903
"ENSMUSG00000034731","Dgkh",-1.384139008,0.093374987,11.9737125
"ENSMUSG00000010825","Grid2ip",-1.479327578,0.09529509,35.40281338
"ENSMUSG00000039860","Srrm3",-1.317946373,0.095971148,8.67299546
"ENSMUSG00000022075","Rhobtb2",-1.091452287,0.097695103,6.530056537
"ENSMUSG00000039629","Strip2",-0.58055747,0.099020476,29.12876136
