Direction,ID,Description,GeneRatio,GeneRatio_num,Count,p.adjust,qvalue,geneID
Down,GO:0060079,excitatory postsynaptic potential,5/61,0.08196721311475409,5,0.005326738827638742,0.004256175161178178,Gria2/Grik1/Baiap2/Grid2/Shank1
Down,GO:0099565,"chemical synaptic transmission, postsynaptic",5/61,0.08196721311475409,5,0.005326738827638742,0.004256175161178178,Gria2/Grik1/Baiap2/Grid2/Shank1
Down,GO:0048167,regulation of synaptic plasticity,7/61,0.11475409836065574,7,0.0057788493197250355,0.004617420851794986,Syt7/Grik1/Cpeb1/Baiap2/Grid2/Pde9a/Grid2ip
Down,GO:0051480,regulation of cytosolic calcium ion concentration,4/61,0.06557377049180328,4,0.0057788493197250355,0.004617420851794986,Asph/Trpc3/Tspoap1/Grid2ip
Down,GO:0060078,regulation of postsynaptic membrane potential,5/61,0.08196721311475409,5,0.0057788493197250355,0.004617420851794986,Gria2/Grik1/Baiap2/Grid2/Shank1
Down,GO:0060402,calcium ion transport into cytosol,3/61,0.04918032786885246,3,0.007589727507980163,0.00606435020466273,Asph/Trpc3/Cacna1g
Down,GO:0006874,intracellular calcium ion homeostasis,6/61,0.09836065573770492,6,0.012282330182897903,0.00981383738481732,Asph/Atp2a3/Trpc3/Atp2c1/Tspoap1/Grid2ip
Down,GO:0070588,calcium ion transmembrane transport,6/61,0.09836065573770492,6,0.012406464769471158,0.009913023502461165,Asph/Atp2a3/Trpc3/Tspan13/Atp2c1/Cacna1g
Down,GO:0010613,positive regulation of cardiac muscle hypertrophy,3/61,0.04918032786885246,3,0.012406464769471158,0.009913023502461165,Ptk2/Trpc3/Pde9a
Down,GO:0055074,calcium ion homeostasis,6/61,0.09836065573770492,6,0.012406464769471158,0.009913023502461165,Asph/Atp2a3/Trpc3/Atp2c1/Tspoap1/Grid2ip
Down,GO:0014742,positive regulation of muscle hypertrophy,3/61,0.04918032786885246,3,0.012406464769471158,0.009913023502461165,Ptk2/Trpc3/Pde9a
Down,GO:0007215,glutamate receptor signaling pathway,3/61,0.04918032786885246,3,0.018482082549571472,0.014767568529204722,Gria2/Grik1/Grid2ip
Down,GO:0097106,postsynaptic density organization,3/61,0.04918032786885246,3,0.01910798985273005,0.015267681488203398,Dgkz/Grid2/Shank1
Down,GO:0098815,modulation of excitatory postsynaptic potential,3/61,0.04918032786885246,3,0.020539698131375208,0.016411646193588415,Grik1/Baiap2/Shank1
Down,GO:0007264,small GTPase-mediated signal transduction,6/61,0.09836065573770492,6,0.020539698131375208,0.016411646193588415,Auts2/Dgkz/Baiap2/Ksr2/Elmo1/Rhobtb2
Down,GO:0006816,calcium ion transport,6/61,0.09836065573770492,6,0.024681389896350242,0.019720944093436277,Asph/Atp2a3/Trpc3/Tspan13/Atp2c1/Cacna1g
Down,GO:0099084,postsynaptic specialization organization,3/61,0.04918032786885246,3,0.024681389896350242,0.019720944093436277,Dgkz/Grid2/Shank1
Down,GO:0030032,lamellipodium assembly,3/61,0.04918032786885246,3,0.024681389896350242,0.019720944093436277,Auts2/Srgap2/Ablim2
Down,GO:0099173,postsynapse organization,5/61,0.08196721311475409,5,0.024681389896350242,0.019720944093436277,Dgkz/Baiap2/Grid2/Shank1/Elmo1
Down,GO:0050805,negative regulation of synaptic transmission,3/61,0.04918032786885246,3,0.025061747142696215,0.020024857447676975,Grik1/Grid2/Grid2ip
Down,GO:0010611,regulation of cardiac muscle hypertrophy,3/61,0.04918032786885246,3,0.02894385735641327,0.02312674428674,Ptk2/Trpc3/Pde9a
Down,GO:0014743,regulation of muscle hypertrophy,3/61,0.04918032786885246,3,0.030948017477627678,0.0247281099258205,Ptk2/Trpc3/Pde9a
Down,GO:0051963,regulation of synapse assembly,4/61,0.06557377049180328,4,0.034003007454155174,0.027169110484788858,Ptk2/Grid2/Srgap2/Elmo1
Down,GO:0097581,lamellipodium organization,3/61,0.04918032786885246,3,0.034003007454155174,0.027169110484788858,Auts2/Srgap2/Ablim2
Down,GO:0001764,neuron migration,4/61,0.06557377049180328,4,0.034731624830511794,0.02775129092944688,Auts2/Ptk2/Srgap2/Astn2
Down,GO:0050807,regulation of synapse organization,5/61,0.08196721311475409,5,0.040398526847823635,0.03227926355723289,Ptk2/Baiap2/Grid2/Srgap2/Elmo1
Down,GO:0050803,regulation of synapse structure or activity,5/61,0.08196721311475409,5,0.04190399031670967,0.03348216019430608,Ptk2/Baiap2/Grid2/Srgap2/Elmo1
Down,GO:0043502,regulation of muscle adaptation,3/61,0.04918032786885246,3,0.04766603155625949,0.03808615104030134,Ptk2/Trpc3/Pde9a
Up,GO:0099003,vesicle-mediated transport in synapse,6/32,0.1875,6,9.298040578504246e-4,6.265297785551943e-4,Pfn2/Calm3/Ap2m1/Sncb/Atp6v1g1/Cltb
Up,GO:0032272,negative regulation of protein polymerization,4/32,0.125,4,9.298040578504246e-4,6.265297785551943e-4,Pfn2/Tpm1/Tubb4a/Stmn2
Up,GO:0140238,presynaptic endocytosis,4/32,0.125,4,9.298040578504246e-4,6.265297785551943e-4,Calm3/Ap2m1/Sncb/Cltb
Up,GO:0099504,synaptic vesicle cycle,5/32,0.15625,5,0.0020577449952878194,0.0013865701115579917,Pfn2/Ap2m1/Sncb/Atp6v1g1/Cltb
