"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099003","vesicle-mediated transport in synapse","6/32","317/28928",0.0189274447949527,17.1104100946372,9.59792895055072,1.17728702990833e-06,0.000929804057850425,0.000626529778555194,"Pfn2/Calm3/Ap2m1/Sncb/Atp6v1g1/Cltb",6
"GO:0032272","negative regulation of protein polymerization","4/32","84/28928",0.0476190476190476,43.047619047619,12.8428417463134,2.23552216219014e-06,0.000929804057850425,0.000626529778555194,"Pfn2/Tpm1/Tubb4a/Stmn2",4
"GO:0140238","presynaptic endocytosis","4/32","92/28928",0.0434782608695652,39.304347826087,12.2456629091228,3.21731507906721e-06,0.000929804057850425,0.000626529778555194,"Calm3/Ap2m1/Sncb/Cltb",4
"GO:0099504","synaptic vesicle cycle","5/32","261/28928",0.0191570881226054,17.3180076628352,8.8126005619209,9.49363319625291e-06,0.00205774499528782,0.00138657011155799,"Pfn2/Ap2m1/Sncb/Atp6v1g1/Cltb",5
"GO:0031333","negative regulation of protein-containing complex assembly","4/32","170/28928",0.0235294117647059,21.2705882352941,8.8210299243136,3.64051016510137e-05,0.00575768067505858,0.00387969741353429,"Pfn2/Tpm1/Tubb4a/Stmn2",4
"GO:0051494","negative regulation of cytoskeleton organization","4/32","180/28928",0.0222222222222222,20.0888888888889,8.54911004016575,4.5494345835914e-05,0.00575768067505858,0.00387969741353429,"Pfn2/Tpm1/Tubb4a/Stmn2",4
"GO:1902904","negative regulation of supramolecular fiber organization","4/32","181/28928",0.0220994475138122,19.9779005524862,8.52312802752403,4.64864645045099e-05,0.00575768067505858,0.00387969741353429,"Pfn2/Tpm1/Tubb4a/Stmn2",4
"GO:0032271","regulation of protein polymerization","4/32","211/28928",0.018957345971564,17.1374407582938,7.8291421271996,8.42806937212224e-05,0.00913392018203748,0.0061547085546419,"Pfn2/Tpm1/Tubb4a/Stmn2",4
"GO:0048488","synaptic vesicle endocytosis","3/32","86/28928",0.0348837209302326,31.5348837209302,9.43714509907154,0.000118216604621021,0.0104654114181945,0.00705190716578396,"Ap2m1/Sncb/Cltb",3
"GO:0031115","negative regulation of microtubule polymerization","2/32","15/28928",0.133333333333333,120.533333333333,15.4097610550785,0.000123360352707059,0.0104654114181945,0.00705190716578396,"Tubb4a/Stmn2",2
"GO:0010976","positive regulation of neuron projection development","4/32","241/28928",0.016597510373444,15.0041493775934,7.26491457214586,0.000140648724564447,0.0104654114181945,0.00705190716578396,"Ptn/Tubb2b/Marcks/Stmn2",4
"GO:0043254","regulation of protein-containing complex assembly","5/32","463/28928",0.0107991360691145,9.76241900647948,6.32509045544475,0.000144887908989507,0.0104654114181945,0.00705190716578396,"Pfn2/Tpm1/Tubb4a/Stmn2/Ppp2ca",5
"GO:0031346","positive regulation of cell projection organization","5/32","471/28928",0.0106157112526539,9.59660297239915,6.25965775460068,0.00015692081711249,0.0104654114181945,0.00705190716578396,"Ptn/Tubb2b/Marcks/Stmn2/Islr2",5
"GO:0036465","synaptic vesicle recycling","3/32","100/28928",0.03,27.12,8.70710413486515,0.000184832749479896,0.011446428128505,0.00771294556100319,"Ap2m1/Sncb/Cltb",3
"GO:0051258","protein polymerization","4/32","297/28928",0.0134680134680135,12.1750841750842,6.44196842633313,0.000312126841297428,0.0180409314269914,0.0121565190821104,"Pfn2/Tpm1/Tubb4a/Stmn2",4
"GO:0098885","modification of postsynaptic actin cytoskeleton","2/32","27/28928",0.0740740740740741,66.962962962963,11.4112553849474,0.000408971336483351,0.0221611342956916,0.0149328349834381,"Pfn2/Marcks",2
"GO:0035330","regulation of hippo signaling","2/32","38/28928",0.0526315789473684,47.578947368421,9.56126862167378,0.000812910807339955,0.0365520712564382,0.024629878646662,"Ywhae/Ppp2ca",2
"GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","3/32","166/28928",0.0180722891566265,16.3373493975904,6.59481530198298,0.000814437085822188,0.0365520712564382,0.024629878646662,"Ap2m1/Neto2/Ywhae",3
"GO:0050807","regulation of synapse organization","4/32","390/28928",0.0102564102564103,9.27179487179487,5.47303361260352,0.000867824378091067,0.0365520712564382,0.024629878646662,"Ptn/Crmp1/Marcks/Nectin1",4
"GO:0010639","negative regulation of organelle organization","4/32","393/28928",0.0101781170483461,9.20101781170484,5.44732032728308,0.000892868603054359,0.0365520712564382,0.024629878646662,"Pfn2/Tpm1/Tubb4a/Stmn2",4
"GO:0050803","regulation of synapse structure or activity","4/32","398/28928",0.0100502512562814,9.08542713567839,5.40507146544642,0.000935738536637511,0.0365520712564382,0.024629878646662,"Ptn/Crmp1/Marcks/Nectin1",4
"GO:0051017","actin filament bundle assembly","3/32","177/28928",0.0169491525423729,15.3220338983051,6.36022787377695,0.000980316633878708,0.0365520712564382,0.024629878646662,"Pfn2/Tpm1/Marcks",3
