"Category","ID","Description","Gene_ENTREZID","Gene_Symbol","Count","p.adjust"
"KEGG_Up","mmu05016","Huntington disease","12867; 11773; 73710; 74325; 22153","Cox7c; Ap2m1; Tubb2b; Cltb; Tubb4a",5,0.0119417867105989
"KEGG_Up","mmu04721","Synaptic vesicle cycle","11773; 66290; 74325","Ap2m1; Atp6v1g1; Cltb",3,0.013304835281551
"KEGG_Up","mmu05012","Parkinson disease","12867; 12315; 73710; 22153","Cox7c; Calm3; Tubb2b; Tubb4a",4,0.0262141563656434
"KEGG_Up","mmu04114","Oocyte meiosis","12315; 22627; 19052","Calm3; Ywhae; Ppp2ca",3,0.0262141563656434
"KEGG_Up","mmu04261","Adrenergic signaling in cardiomyocytes","12315; 22003; 19052","Calm3; Tpm1; Ppp2ca",3,0.0415331382164193
"KEGG_Up","mmu05014","Amyotrophic lateral sclerosis","18645; 12867; 73710; 22153","Pfn2; Cox7c; Tubb2b; Tubb4a",4,0.0432898381613113
"KEGG_Up","mmu04145","Phagosome","66290; 73710; 22153","Atp6v1g1; Tubb2b; Tubb4a",3,0.0432898381613113
"KEGG_Up","mmu05010","Alzheimer disease","12867; 12315; 73710; 22153","Cox7c; Calm3; Tubb2b; Tubb4a",4,0.0432898381613113
"KEGG_Up","mmu04814","Motor proteins","22003; 73710; 22153","Tpm1; Tubb2b; Tubb4a",3,0.0451570497858117
"KEGG_Up","mmu04961","Endocrine and other factor-regulated calcium reabsorption","11773; 74325","Ap2m1; Cltb",2,0.0451570497858117
