"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Development and regeneration","mmu04360","Axon guidance","4/29","181/10649",0.0220994475138122,8.11506953705468,5.04495551556891,0.00137529505351964,0.0649307747942151,0.0541459639432279,"14083/22065/14270/231148",4
"Environmental Information Processing","Signal transduction","mmu04070","Phosphatidylinositol signaling system","3/29","96/10649",0.03125,11.4752155172414,5.38742672315044,0.00218881428367026,0.0649307747942151,0.0541459639432279,"104418/74596/380921",3
"Metabolism","Lipid metabolism","mmu00564","Glycerophospholipid metabolism","3/29","101/10649",0.0297029702970297,10.9071355411403,5.227505432651,0.00252977044652786,0.0649307747942151,0.0541459639432279,"104418/74596/380921",3
"Organismal Systems","Nervous system","mmu04724","Glutamatergic synapse","3/29","117/10649",0.0256410256410256,9.41556145004421,4.78290068485951,0.00383527370208323,0.0738290187651023,0.0615662357439677,"14800/14805/243961",3
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection","3/29","136/10649",0.0220588235294118,8.10015212981744,4.35456259688719,0.00583985149984854,0.0828272393476284,0.0690698783350011,"14083/108100/140580",3
"Human Diseases","Neurodegenerative disease","mmu05017","Spinocerebellar ataxia","3/29","141/10649",0.0212765957446809,7.81291269258988,4.25552464098054,0.0064540705985165,0.0828272393476284,0.0690698783350011,"14800/53313/22065",3
NA,NA,"mmu04517","IgSF CAM signaling","4/29","300/10649",0.0133333333333333,4.89609195402299,3.5769378484251,0.00841199308779999,0.0924748927704056,0.0771150848803109,"223435/14083/108100/14270",4
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","3/29","163/10649",0.0184049079754601,6.75840913898879,3.87134749702077,0.00960778106705513,0.0924748927704056,0.0771150848803109,"14083/53313/140580",3
"Organismal Systems","Nervous system","mmu04730","Long-term depression","2/29","60/10649",0.0333333333333333,12.2402298850575,4.56240785569318,0.0114949235500871,0.0971717765613606,0.0810318300785099,"14800/14804",2
"Metabolism","Lipid metabolism","mmu00561","Glycerolipid metabolism","2/29","63/10649",0.0317460317460317,11.6573617952928,4.43327632013579,0.0126197112417351,0.0971717765613606,0.0810318300785099,"104418/380921",2
