gene_id,gene,ctl1,ctl2,ctl3,ctl4,ctl5,ctl6,ctl7
ENSMUSG00000000001,Gnai3,0,3,0,7,0,2,13
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,0,0,0,1,0,0,1
ENSMUSG00000000037,Scml2,0,0,0,0,0,0,0
ENSMUSG00000000049,Apoh,0,0,0,0,0,0,0
ENSMUSG00000000056,Narf,2,11,2,85,1,5,27
ENSMUSG00000000058,Cav2,0,0,0,1,0,0,1
ENSMUSG00000000078,Klf6,0,1,0,1,0,0,4
ENSMUSG00000000085,Scmh1,0,2,0,7,4,4,16
ENSMUSG00000000088,Cox5a,8,18,2,116,5,0,58
ENSMUSG00000000093,Tbx2,0,0,0,0,0,0,3
ENSMUSG00000000094,Tbx4,0,0,0,0,0,0,0
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,2,5,0,59,1,0,2
ENSMUSG00000000125,Wnt3,0,6,0,18,4,1,4
ENSMUSG00000000126,Wnt9a,0,0,0,0,0,0,1
ENSMUSG00000000127,Fer,0,0,2,5,2,1,11
ENSMUSG00000000131,Xpo6,0,1,1,14,5,2,18
ENSMUSG00000000134,Tfe3,0,2,0,5,0,1,7
ENSMUSG00000000142,Axin2,0,1,0,1,1,0,13
ENSMUSG00000000148,Brat1,1,0,0,7,1,2,9
ENSMUSG00000000149,Gna12,0,1,0,6,0,0,21
ENSMUSG00000000154,Slc22a18,0,0,0,0,0,0,0
ENSMUSG00000000157,Itgb2l,0,0,0,0,0,0,0
ENSMUSG00000000159,Igsf5,0,0,0,0,0,0,0
ENSMUSG00000000167,Pih1d2,0,0,0,0,0,0,2
ENSMUSG00000000168,Dlat,4,9,0,57,2,1,18
ENSMUSG00000000171,Sdhd,3,20,4,80,3,0,33
ENSMUSG00000000182,Fgf23,0,0,0,0,0,0,0
ENSMUSG00000000183,Fgf6,0,0,0,0,0,0,0
ENSMUSG00000000184,Ccnd2,0,0,0,0,0,0,19
ENSMUSG00000000194,Gpr107,0,4,2,14,1,3,14
ENSMUSG00000000197,Nalcn,0,1,0,6,1,0,9
ENSMUSG00000000202,Btbd17,0,0,0,1,0,1,24
ENSMUSG00000000204,Slfn4,0,0,0,0,0,0,0
ENSMUSG00000000214,Th,0,0,0,5,2,0,0
ENSMUSG00000000215,Ins2,0,0,0,0,0,0,0
ENSMUSG00000000216,Scnn1g,0,0,0,0,0,0,0
ENSMUSG00000000223,Drp2,0,0,0,0,0,0,0
ENSMUSG00000000244,Tspan32,0,0,0,0,0,0,0
ENSMUSG00000000247,Lhx2,0,0,0,0,0,0,0
ENSMUSG00000000248,Clec2g,0,0,0,0,0,0,0
ENSMUSG00000000253,Gmpr,0,5,3,20,2,0,7
ENSMUSG00000000263,Glra1,0,0,0,0,0,0,0
ENSMUSG00000000266,Mid2,0,4,1,4,2,0,1
ENSMUSG00000000275,Trim25,0,0,0,0,0,0,0
ENSMUSG00000000276,Dgke,0,4,0,19,2,3,22
ENSMUSG00000000278,Scpep1,0,0,0,0,0,0,6
ENSMUSG00000000282,Mnt,1,0,0,6,2,0,7
ENSMUSG00000000290,Itgb2,0,0,0,0,0,0,3
ENSMUSG00000000295,Hddc2,0,1,1,0,0,0,2
ENSMUSG00000000296,Tpd52l1,0,0,0,0,0,0,3
ENSMUSG00000000301,Pemt,0,0,0,1,0,0,1
ENSMUSG00000000303,Cdh1,0,0,0,0,0,0,0
ENSMUSG00000000305,Cdh4,0,0,0,0,0,0,2
ENSMUSG00000000308,Ckmt1,13,33,11,126,5,2,93
ENSMUSG00000000317,Bcl6b,0,0,0,0,0,0,0
ENSMUSG00000000318,Clec10a,0,0,0,0,0,0,1
ENSMUSG00000000320,Alox12,0,0,0,1,0,0,0
ENSMUSG00000000326,Comt,2,18,0,22,1,1,28
ENSMUSG00000000339,Rtca,4,3,1,16,3,0,15
ENSMUSG00000000340,Dbt,1,1,0,7,1,1,3
ENSMUSG00000000346,Dazap2,1,0,0,4,0,0,6
ENSMUSG00000000355,Mcts1,2,1,0,25,2,0,10
ENSMUSG00000000359,Rem1,0,0,0,0,0,0,0
ENSMUSG00000000365,Rnf17,0,0,0,0,0,0,0
ENSMUSG00000000374,Trappc10,0,4,0,19,0,1,16
ENSMUSG00000000378,Ccm2,1,3,0,13,0,0,11
ENSMUSG00000000381,Wap,0,0,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,0,3,0,10,3,1,17
ENSMUSG00000000385,Tmprss2,0,0,0,0,0,0,0
ENSMUSG00000000392,Fap,0,0,0,0,0,0,0
ENSMUSG00000000394,Gcg,0,0,0,0,0,0,0
ENSMUSG00000000399,Ndufa9,2,10,2,34,1,0,21
ENSMUSG00000000402,Egfl6,0,0,0,0,0,0,0
ENSMUSG00000000409,Lck,0,0,0,0,0,0,0
ENSMUSG00000000411,Tssk3,0,0,0,0,0,0,0
ENSMUSG00000000416,Cttnbp2,1,8,0,142,28,36,23
ENSMUSG00000000420,Galnt1,1,12,0,31,2,3,14
ENSMUSG00000000435,Myf5,0,0,0,0,0,0,0
ENSMUSG00000000439,Mkrn2,0,1,0,7,0,0,7
ENSMUSG00000000440,Pparg,0,0,0,0,0,0,2
