gene_id,gene,dta1,dta2,dta3,dta4,dta5,dta6,dta7,dta8,dta9,dta10,dta11,dta12,dta13,dta14,dta15,dta16,dta17,dta18,dta19,dta20,dta21,dta22,dta23,dta24,dta25,dta26,dta27,dta28,dta29,dta30,dta31,dta32,dta33,dta34,dta35,dta36,dta37,dta38,dta39,dta40,dta41,dta42,dta43,dta44,dta45,dta46,,dta1,dta2,dta3
ENSMUSG00000000001,Gnai3,0,3,3,1,0,4,1,0,6,0,2,1,0,1,2,0,0,2,0,1,0,4,2,11,1,0,2,1,3,3,4,4,0,1,1,1,2,7,1,1,15,0,1,0,0,0,,6,8,1
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000028,Cdc45,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,1,0,0
ENSMUSG00000000037,Scml2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000049,Apoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000056,Narf,11,21,7,14,0,6,4,1,25,6,8,12,2,2,2,2,0,3,7,4,1,20,14,34,1,1,16,12,35,19,31,29,2,5,1,6,10,40,5,25,25,5,0,3,3,1,,39,45,3
ENSMUSG00000000058,Cav2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000078,Klf6,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,,0,0,0
ENSMUSG00000000085,Scmh1,0,3,5,7,1,7,1,0,4,1,6,4,0,0,5,1,1,3,4,1,1,6,8,13,0,0,4,6,1,6,9,6,1,2,4,3,9,7,6,25,25,0,0,2,0,0,,8,13,2
ENSMUSG00000000088,Cox5a,37,85,30,23,2,22,10,4,65,8,26,39,14,3,5,1,1,1,10,9,13,63,59,82,1,2,51,45,86,70,49,89,2,17,4,15,33,119,18,161,127,11,2,0,5,3,,152,137,2
ENSMUSG00000000093,Tbx2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000094,Tbx4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000120,Ngfr,12,10,10,4,0,12,0,0,23,0,14,2,2,3,0,2,1,1,2,0,0,15,28,13,2,0,9,11,0,84,94,64,11,46,8,84,60,57,27,32,33,5,0,0,0,1,,32,84,0
ENSMUSG00000000125,Wnt3,2,14,13,11,0,19,4,0,18,1,8,2,5,3,4,0,0,1,4,0,2,5,17,8,0,1,9,4,9,7,44,9,3,9,1,10,14,7,2,22,17,1,3,2,1,2,,29,9,5
ENSMUSG00000000126,Wnt9a,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,1,0,0
ENSMUSG00000000127,Fer,3,3,2,2,0,2,0,0,2,0,1,0,0,1,0,2,0,2,0,0,1,0,1,4,0,0,1,5,3,3,7,4,1,1,0,0,0,3,6,9,16,0,2,1,0,0,,8,9,3
ENSMUSG00000000131,Xpo6,3,6,3,8,0,1,1,0,4,2,3,1,0,0,3,0,1,2,3,7,2,7,4,8,0,0,4,9,4,13,10,6,1,6,3,7,7,15,7,17,19,1,0,0,0,0,,12,22,0
ENSMUSG00000000134,Tfe3,3,2,3,4,0,0,0,0,3,1,1,4,2,0,1,1,0,0,0,0,0,2,1,4,0,0,1,1,0,3,1,0,2,3,1,1,1,8,1,4,7,0,0,2,0,0,,8,9,2
ENSMUSG00000000142,Axin2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,3,1,1,0,1,0,2,0,0,9,0,0,0,0,0,,1,2,0
ENSMUSG00000000148,Brat1,1,5,3,7,0,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,5,2,3,0,0,4,1,5,7,5,3,3,4,0,4,4,10,2,7,8,0,0,4,0,1,,9,12,4
ENSMUSG00000000149,Gna12,2,7,3,0,0,1,0,1,8,0,4,2,0,0,1,0,0,0,1,1,2,1,2,6,0,0,4,2,4,5,9,5,0,1,0,5,5,12,2,12,13,0,0,0,0,0,,12,14,0
ENSMUSG00000000154,Slc22a18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000157,Itgb2l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000159,Igsf5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000167,Pih1d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000168,Dlat,10,28,7,20,0,16,2,0,40,6,16,26,6,5,3,0,1,4,3,2,3,25,17,32,2,2,15,19,34,26,28,45,1,12,1,10,20,46,13,46,57,8,1,2,2,1,,45,59,3
ENSMUSG00000000171,Sdhd,12,54,21,15,3,27,3,3,52,1,23,34,7,8,2,2,0,1,4,6,5,35,21,51,1,0,34,26,43,45,47,42,5,11,5,15,29,54,12,87,64,6,4,3,2,6,,87,66,7
ENSMUSG00000000182,Fgf23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000183,Fgf6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000184,Ccnd2,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,2,2,1,3,1,0,1,0,0,0,0,1,2,0,0,1,1,2,1,0,1,0,0,20,0,0,0,0,0,,0,1,0
ENSMUSG00000000194,Gpr107,6,5,3,6,0,9,3,1,3,0,3,6,1,0,2,1,0,0,4,0,1,2,7,13,0,1,3,2,12,5,7,8,4,1,1,3,5,5,0,9,22,0,1,1,0,0,,14,5,2
ENSMUSG00000000197,Nalcn,1,3,3,7,0,2,2,0,3,1,2,1,3,2,0,2,0,0,0,2,1,3,4,5,2,0,2,10,5,6,9,1,2,3,0,9,1,1,2,9,12,0,0,0,0,2,,7,3,0
ENSMUSG00000000202,Btbd17,3,1,3,0,0,3,2,1,0,1,0,2,0,0,2,0,0,0,1,6,16,0,0,15,0,0,0,3,11,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,0,,7,1,0
ENSMUSG00000000204,Slfn4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000214,Th,0,0,2,0,0,1,0,0,4,3,3,1,1,0,0,0,0,0,2,0,0,0,4,2,0,0,1,0,0,2,2,2,0,1,0,0,4,1,0,11,0,1,0,0,0,0,,2,1,0
ENSMUSG00000000215,Ins2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000216,Scnn1g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
