"symbol","ensembl_ID","User_ID","baseMean","CTLIO-TIO_log2FC","CTLIO-TIO_adjPval","Processed data:","search_label","cio1LHL10698_L4","cio2LHL10702_L4","cio3LHL10704_L4","tio1LHL10699_L4","tio2LHL10703_L4","tio3LHL10705_L4"
"mt-Rnr2","ENSMUSG00000064339","ENSMUSG00000064339",168789.217315115,-0.419242584246189,0.999848702130461,"","mt-Rnr2 | ENSMUSG00000064339",17.4106742332644,17.0151759961674,16.9502900366644,18.0585087547141,17.2934411021269,17.1536634539094
"Malat1","ENSMUSG00000092341","ENSMUSG00000092341",97297.1845966795,0.103670296725719,0.999848702130461,"","Malat1 | ENSMUSG00000092341",16.6087193440196,16.6533572901016,16.6006373894035,16.7251689335715,16.2927313938807,16.5018443673406
"Plp1","ENSMUSG00000031425","ENSMUSG00000031425",55589.1367424823,0.558237992897344,0.999848702130461,"","Plp1 | ENSMUSG00000031425",16.3851320743178,15.4953617902358,16.0290464300941,15.2194097557092,15.61513386177,15.5070509166289
"mt-Rnr1","ENSMUSG00000064337","ENSMUSG00000064337",64946.4391447899,-0.420563148709855,0.999848702130461,"","mt-Rnr1 | ENSMUSG00000064337",16.0377671111987,15.4621056905865,15.7270784519642,16.7206999310186,15.869523638324,15.7517859817987
"Mbp","ENSMUSG00000041607","ENSMUSG00000041607",37925.5235912607,-0.618014016281753,0.999848702130461,"","Mbp | ENSMUSG00000041607",14.5276199237382,15.0640047079201,14.961878410108,14.8639236064413,15.7090263617368,15.7314889688279
"Rn7s2","ENSMUSG00000118841","ENSMUSG00000118841",21381.091086482,-0.00757722940043671,0.999848702130461,"","Rn7s2 | ENSMUSG00000118841",14.235334714749,14.2743856481285,14.6029631534622,14.8427205834639,14.6230172219072,13.2447432096877
"Rpph1","ENSMUSG00000092837","ENSMUSG00000092837",18785.7063287563,0.33261356733271,0.999848702130461,"","Rpph1 | ENSMUSG00000092837",13.9882302996036,14.5522616189898,14.461586009022,14.275887184418,14.2313464687324,13.4027548363731
"Rn7sk","ENSMUSG00002076161","ENSMUSG00002076161",22816.3181445786,-0.0310629749458258,0.999848702130461,"","Rn7sk | ENSMUSG00002076161",14.2645193488096,14.667246522204,14.4268841789651,14.6802404576259,15.0122383121477,13.2726280618515
"Rn7s1","ENSMUSG00000118866","ENSMUSG00000118866",11117.3611984362,0.323966795783533,0.999848702130461,"","Rn7s1 | ENSMUSG00000118866",13.0774805347889,13.1999881090606,14.2167014329879,13.6988302759556,13.5778331177889,12.0049673675006
"Nfasc","ENSMUSG00000026442","ENSMUSG00000026442",19455.2476637949,0.27113871688938,0.999848702130461,"","Nfasc | ENSMUSG00000026442",12.6499643647554,15.1925260813533,14.2858276322089,12.1908524607071,14.6012407141982,14.5128757837152
