symbol,ensembl_ID,User_ID,baseMean,CTLIO-TIO_log2FC,CTLIO-TIO_adjPval,Processed data:,search_label,cio1LHL10698_L4,cio2LHL10702_L4,cio3LHL10704_L4,tio1LHL10699_L4,tio2LHL10703_L4,tio3LHL10705_L4,c-io-1-LHL10698_L4,c-io-2-LHL10702_L4,c-io-3-LHL10704_L4,t-io-1-LHL10699_L4,t-io-2-LHL10703_L4,t-io-3-LHL10705_L4
mt-Rnr2,ENSMUSG00000064339,ENSMUSG00000064339,168789.2173,-0.419242584,0.999848702,,mt-Rnr2 | ENSMUSG00000064339,17.41067423,17.015176,16.95029004,18.05850875,17.2934411,17.15366345,129524,98150,609514,193902,160627,144694
Malat1,ENSMUSG00000092341,ENSMUSG00000092341,97297.1846,0.103670297,0.999848702,,Malat1 | ENSMUSG00000092341,16.60871934,16.65335729,16.60063739,16.72516893,16.29273139,16.50184437,74290,76378,478326,76948,80272,92093
Plp1,ENSMUSG00000031425,ENSMUSG00000031425,55589.13674,0.558237993,0.999848702,,Plp1 | ENSMUSG00000031425,16.38513207,15.49536179,16.02904643,15.21940976,15.61513386,15.50705092,63624,34226,321847,27095,50185,46211
mt-Rnr1,ENSMUSG00000064337,ENSMUSG00000064337,64946.43914,-0.420563149,0.999848702,,mt-Rnr1 | ENSMUSG00000064337,16.03776711,15.46210569,15.72707845,16.72069993,15.86952364,15.75178598,50009,33446,261061,76710,59863,54755
Mbp,ENSMUSG00000041607,ENSMUSG00000041607,37925.52359,-0.618014016,0.999848702,,Mbp | ENSMUSG00000041607,14.52761992,15.06400471,14.96187841,14.86392361,15.70902636,15.73148897,17555,25380,153593,21177,53560,53990
Rn7s2,ENSMUSG00000118841,ENSMUSG00000118841,21381.09109,-0.007577229,0.999848702,,Rn7s2 | ENSMUSG00000118841,14.23533471,14.27438565,14.60296315,14.84272058,14.62301722,13.24474321,14335,14681,119760,20868,25228,9629
Rpph1,ENSMUSG00000092837,ENSMUSG00000092837,18785.70633,0.332613567,0.999848702,,Rpph1 | ENSMUSG00000092837,13.9882303,14.55226162,14.46158601,14.27588718,14.23134647,13.40275484,12078,17800,108579,14087,19229,10744
Rn7sk,ENSMUSG00002076161,ENSMUSG00002076161,22816.31814,-0.031062975,0.999848702,,Rn7sk | ENSMUSG00002076161,14.26451935,14.66724652,14.42688418,14.68024046,15.01223831,13.27262806,14628,19277,105998,18645,33042,9817
Rn7s1,ENSMUSG00000118866,ENSMUSG00000118866,11117.3612,0.323966796,0.999848702,,Rn7s1 | ENSMUSG00000118866,13.07748053,13.19998811,14.21670143,13.69883028,13.57783312,12.00496737,6423,6970,91625,9442,12223,4075
Nfasc,ENSMUSG00000026442,ENSMUSG00000026442,19455.24766,0.271138717,0.999848702,,Nfasc | ENSMUSG00000026442,12.64996436,15.19252608,14.28582763,12.19085246,14.60124071,14.51287578,4775,27745,96123,3318,24850,23197
ENSMUSG00000141422,ENSMUSG00000141422,ENSMUSG00000141422,14830.26787,-0.242092099,0.999848702,,ENSMUSG00000141422,12.98523858,14.04874675,13.94063112,13.73503213,14.40552418,13.6539291,6025,12555,75664,9682,21697,12788
Mobp,ENSMUSG00000032517,ENSMUSG00000032517,15859.44482,0.093729201,0.999848702,,Mobp | ENSMUSG00000032517,14.01062572,14.06712533,13.91685626,13.85489322,13.94732192,13.91363319,12267,12716,74427,10521,15792,15311
Cnp,ENSMUSG00000006782,ENSMUSG00000006782,11086.80948,0.342192472,0.999848702,,Cnp | ENSMUSG00000006782,13.67080245,13.56749396,13.5528556,12.60916177,13.51155586,13.47921663,9692,8993,57826,4435,11674,11329
Mag,ENSMUSG00000036634,ENSMUSG00000036634,8915.424464,0.875038383,0.999848702,,Mag | ENSMUSG00000036634,13.60239072,13.40378925,13.47101719,11.90123396,12.82022922,12.93467155,9243,8028,54636,2714,7228,7766
Qki,ENSMUSG00000062078,ENSMUSG00000062078,8616.985269,0.344645393,0.999848702,,Qki | ENSMUSG00000062078,12.82464645,13.35816498,13.44883301,11.62398781,13.17044482,13.34622484,5390,7778,53802,2239,9215,10331
mt-Co1,ENSMUSG00000064351,ENSMUSG00000064351,14956.06739,-0.26915842,0.999848702,,mt-Co1 | ENSMUSG00000064351,14.22016212,13.19106393,13.58286899,14.12819907,14.05651865,13.78421743,14185,6927,59042,12716,17034,13997
Tubb4a,ENSMUSG00000062591,ENSMUSG00000062591,9405.460231,0.27139802,0.999848702,,Tubb4a | ENSMUSG00000062591,13.36974095,13.22724646,13.38537661,10.22287026,13.33795087,13.77646847,7866,7103,51486,846,10350,13922
Scd2,ENSMUSG00000025203,ENSMUSG00000025203,9096.855764,0.68343691,0.999848702,,Scd2 | ENSMUSG00000025203,13.86162396,13.13956743,13.24957584,12.54093009,12.65289523,13.0628618,11063,6684,46859,4230,6436,8488
