Gene	c-io-1-LHL10698_L4	c-io-2-LHL10702_L4	c-io-3-LHL10704_L4	t-io-1-LHL10699_L4	t-io-2-LHL10703_L4	t-io-3-LHL10705_L4
ENSMUSG00000000001	0	112	928	0	0	0
ENSMUSG00000000056	0	224	734	0	0	638
ENSMUSG00000000078	2	209	499	283	0	589
ENSMUSG00000000085	0	0	0	0	124	0
ENSMUSG00000000125	273	0	5	0	122	0
ENSMUSG00000000127	0	0	1709	0	0	0
ENSMUSG00000000131	0	0	1148	0	170	310
ENSMUSG00000000142	0	0	489	0	0	0
ENSMUSG00000000148	0	0	0	0	372	0
ENSMUSG00000000149	15	367	2258	575	201	0
ENSMUSG00000000168	0	0	1615	0	0	0
ENSMUSG00000000171	414	0	0	0	0	0
ENSMUSG00000000194	213	0	1846	0	0	5
ENSMUSG00000000197	0	0	139	0	0	267
ENSMUSG00000000202	0	0	0	0	292	0
ENSMUSG00000000223	455	0	0	0	0	0
ENSMUSG00000000253	0	0	148	0	0	0
ENSMUSG00000000266	1	0	0	0	0	0
ENSMUSG00000000275	0	0	0	0	159	0
ENSMUSG00000000276	0	0	424	0	0	0
ENSMUSG00000000278	0	0	77	0	0	0
ENSMUSG00000000282	0	4	44	0	0	0
ENSMUSG00000000290	0	0	83	0	0	0
ENSMUSG00000000295	0	0	378	0	0	0
ENSMUSG00000000305	0	0	469	0	0	0
ENSMUSG00000000308	0	0	0	0	0	0
ENSMUSG00000000318	0	0	406	0	0	0
ENSMUSG00000000326	0	0	326	51	0	0
ENSMUSG00000000339	0	6	0	660	0	0
ENSMUSG00000000340	0	12	206	0	63	0
ENSMUSG00000000346	0	78	1111	0	0	104
ENSMUSG00000000355	0	0	0	178	0	0
ENSMUSG00000000374	238	131	650	0	0	0
ENSMUSG00000000378	0	42	61	0	0	0
ENSMUSG00000000384	0	0	6	0	0	0
ENSMUSG00000000399	0	0	86	0	0	0
ENSMUSG00000000416	35	0	204	0	244	156
ENSMUSG00000000420	257	209	802	0	499	0
ENSMUSG00000000439	0	0	385	0	0	0
ENSMUSG00000000441	0	122	436	0	554	0
ENSMUSG00000000486	0	0	0	0	0	360
ENSMUSG00000000489	0	0	0	362	0	0
ENSMUSG00000000532	0	0	642	0	58	646
ENSMUSG00000000538	320	0	1612	0	62	0
ENSMUSG00000000555	0	0	0	73	0	0
ENSMUSG00000000561	0	140	256	0	0	0
ENSMUSG00000000562	0	0	265	0	0	0
ENSMUSG00000000563	0	0	2332	0	364	1309
ENSMUSG00000000567	0	473	730	0	0	0
ENSMUSG00000000568	0	74	1783	0	102	0
ENSMUSG00000000579	0	2	122	0	0	307
ENSMUSG00000000581	0	0	0	0	0	5
ENSMUSG00000000594	0	0	1233	202	0	0
ENSMUSG00000000600	41	271	1700	0	206	0
ENSMUSG00000000605	868	285	829	0	541	64
ENSMUSG00000000631	145	514	1351	371	108	0
ENSMUSG00000000632	0	0	2	0	0	0
ENSMUSG00000000686	0	0	134	0	0	0
ENSMUSG00000000690	0	0	0	0	2	0
ENSMUSG00000000693	0	0	41	0	0	0
ENSMUSG00000000708	0	0	1320	0	0	0
ENSMUSG00000000711	0	125	1200	0	0	0
ENSMUSG00000000738	62	0	483	0	0	0
ENSMUSG00000000740	174	11	1500	36	2	0
ENSMUSG00000000751	0	68	0	0	0	0
ENSMUSG00000000753	0	0	133	641	0	0
ENSMUSG00000000776	34	38	755	443	0	0
ENSMUSG00000000782	0	0	0	0	3	0
ENSMUSG00000000787	1107	613	6070	719	1348	0
ENSMUSG00000000791	0	2	432	0	0	0
ENSMUSG00000000804	291	0	729	237	191	1337
ENSMUSG00000000805	487	0	0	0	0	0
ENSMUSG00000000823	0	13	93	1395	18	502
ENSMUSG00000000826	0	32	840	0	158	276
ENSMUSG00000000827	173	55	313	0	0	0
ENSMUSG00000000838	0	165	732	1547	0	201
ENSMUSG00000000861	0	0	0	0	129	0
ENSMUSG00000000869	0	0	0	0	294	0
ENSMUSG00000000881	0	445	104	0	0	0
ENSMUSG00000000902	487	0	415	1194	0	117
ENSMUSG00000000915	284	299	2748	821	329	856
ENSMUSG00000000948	38	0	117	0	76	41
ENSMUSG00000000957	0	3	3	0	0	0
ENSMUSG00000000959	0	64	0	180	75	0
ENSMUSG00000000976	121	0	1337	0	2	0
ENSMUSG00000000982	0	0	92	0	0	0
ENSMUSG00000001016	180	182	574	0	369	0
ENSMUSG00000001017	661	105	705	0	0	148
ENSMUSG00000001018	0	0	618	0	329	0
ENSMUSG00000001021	0	0	0	0	301	0
ENSMUSG00000001029	0	0	0	132	0	0
ENSMUSG00000001034	0	0	520	0	0	0
ENSMUSG00000001036	153	17	2606	0	734	610
ENSMUSG00000001052	0	0	1023	359	0	641
ENSMUSG00000001054	0	30	518	0	0	0
ENSMUSG00000001056	0	58	0	0	0	0
ENSMUSG00000001062	0	0	0	0	0	0
ENSMUSG00000001065	0	237	832	1356	487	0
ENSMUSG00000001089	682	0	327	850	0	0
ENSMUSG00000001098	0	0	616	0	0	0
ENSMUSG00000001100	0	28	228	0	289	77
ENSMUSG00000001105	0	0	400	0	0	0
ENSMUSG00000001119	0	0	0	500	0	0
ENSMUSG00000001127	0	0	0	0	38	0
ENSMUSG00000001138	0	0	127	0	0	0
ENSMUSG00000001143	0	0	824	0	8	0
ENSMUSG00000001150	0	0	0	0	0	279
ENSMUSG00000001151	668	118	181	0	305	0
ENSMUSG00000001156	114	0	167	0	0	0
ENSMUSG00000001158	0	114	33	0	0	0
ENSMUSG00000001173	0	0	269	0	268	0
ENSMUSG00000001175	665	997	5013	1573	1414	1468
ENSMUSG00000001211	456	0	704	0	0	0
ENSMUSG00000001227	0	0	828	0	0	0
ENSMUSG00000001228	228	0	0	125	0	0
ENSMUSG00000001229	604	0	576	0	0	203
ENSMUSG00000001240	387	117	185	1344	0	0
ENSMUSG00000001248	0	9	1330	0	664	0
ENSMUSG00000001260	0	0	28	0	0	0
ENSMUSG00000001270	994	463	5011	114	387	1268
ENSMUSG00000001280	21	21	1404	0	105	253
ENSMUSG00000001289	157	0	1172	0	343	0
ENSMUSG00000001300	121	0	102	0	30	0
ENSMUSG00000001313	0	870	2410	0	583	748
ENSMUSG00000001323	0	0	855	0	0	0
ENSMUSG00000001366	0	0	976	836	0	13
ENSMUSG00000001376	0	0	0	106	355	0
ENSMUSG00000001380	0	136	1310	0	0	0
ENSMUSG00000001383	386	0	1345	0	0	0
ENSMUSG00000001403	0	0	0	0	0	101
ENSMUSG00000001415	0	391	0	0	0	255
ENSMUSG00000001416	0	60	395	24	12	581
ENSMUSG00000001418	0	0	0	338	0	955
ENSMUSG00000001419	22	163	889	0	0	764
ENSMUSG00000001424	87	1	462	0	555	629
ENSMUSG00000001436	0	0	0	175	0	0
ENSMUSG00000001440	718	379	5897	3319	307	1183
ENSMUSG00000001441	0	47	0	0	0	489
ENSMUSG00000001445	0	0	136	0	0	0
ENSMUSG00000001467	1344	1296	9064	649	374	1229
ENSMUSG00000001472	0	243	1424	0	1206	1008
ENSMUSG00000001473	0	0	0	0	8	0
ENSMUSG00000001482	0	0	0	254	0	0
ENSMUSG00000001506	0	0	878	289	0	0
ENSMUSG00000001507	0	57	0	0	151	0
ENSMUSG00000001518	0	24	235	0	0	0
ENSMUSG00000001520	0	0	0	0	31	0
ENSMUSG00000001521	0	12	106	0	0	0
ENSMUSG00000001525	652	486	3130	163	1077	838
ENSMUSG00000001542	326	135	1244	57	651	368
ENSMUSG00000001552	84	267	0	0	0	322
ENSMUSG00000001569	15	221	229	0	0	0
ENSMUSG00000001627	0	0	551	0	0	0
ENSMUSG00000001630	0	0	0	368	292	0
ENSMUSG00000001632	93	5	253	138	0	0
ENSMUSG00000001642	0	0	386	5	0	187
ENSMUSG00000001666	0	0	701	0	0	0
ENSMUSG00000001674	0	46	0	0	0	0
ENSMUSG00000001687	1430	2313	11092	0	740	2618
ENSMUSG00000001700	500	650	3061	0	158	0
ENSMUSG00000001707	0	0	14	0	0	0
ENSMUSG00000001729	30	133	432	2	401	0
ENSMUSG00000001750	0	0	481	0	0	0
ENSMUSG00000001755	0	0	363	0	0	0
ENSMUSG00000001761	2	0	579	0	0	0
ENSMUSG00000001767	237	0	1024	0	0	0
ENSMUSG00000001774	0	0	722	436	0	0
ENSMUSG00000001783	0	161	1787	0	607	0
ENSMUSG00000001786	0	0	0	0	0	30
ENSMUSG00000001794	28	0	400	0	0	0
ENSMUSG00000001829	0	0	232	0	0	0
ENSMUSG00000001833	2179	2642	16609	1535	4073	2600
ENSMUSG00000001844	0	0	167	0	0	0
ENSMUSG00000001847	472	161	6376	0	1984	1261
ENSMUSG00000001855	72	133	1190	142	0	881
ENSMUSG00000001865	0	0	1194	0	0	0
ENSMUSG00000001870	0	0	26	0	0	0
ENSMUSG00000001891	117	0	601	1184	0	0
ENSMUSG00000001909	0	124	0	0	120	0
ENSMUSG00000001910	0	0	668	287	0	0
ENSMUSG00000001911	272	0	629	0	784	152
ENSMUSG00000001924	885	833	5345	219	1171	1020
ENSMUSG00000001930	0	0	0	493	0	0
ENSMUSG00000001942	0	0	90	0	0	0
ENSMUSG00000001946	362	0	0	186	430	0
ENSMUSG00000001948	0	0	0	85	0	0
ENSMUSG00000001962	0	74	0	0	0	0
ENSMUSG00000001964	0	7	3	0	0	0
ENSMUSG00000001985	25	235	886	0	389	280
ENSMUSG00000001986	0	288	0	0	0	0
ENSMUSG00000001995	342	133	0	0	0	0
ENSMUSG00000001998	0	70	155	0	0	0
ENSMUSG00000001999	0	0	0	107	0	0
ENSMUSG00000002006	230	0	0	0	0	0
ENSMUSG00000002007	0	196	166	0	427	144
ENSMUSG00000002010	0	0	0	0	591	0
ENSMUSG00000002014	3	316	0	0	0	48
ENSMUSG00000002015	329	0	1399	181	0	475
ENSMUSG00000002017	0	0	191	0	0	83
ENSMUSG00000002028	142	231	2615	218	1368	1479
ENSMUSG00000002031	0	147	540	12	0	0
ENSMUSG00000002052	382	558	4680	522	1365	1178
ENSMUSG00000002058	0	149	0	0	0	0
ENSMUSG00000002059	0	0	844	0	0	0
ENSMUSG00000002064	62	0	0	0	0	0
ENSMUSG00000002083	0	0	277	0	33	0
ENSMUSG00000002102	77	0	1793	459	243	342
ENSMUSG00000002103	0	0	1883	0	0	0
ENSMUSG00000002107	0	65	607	398	0	0
ENSMUSG00000002111	0	0	43	0	0	0
ENSMUSG00000002129	0	0	1243	16	509	707
ENSMUSG00000002147	96	0	0	0	0	0
ENSMUSG00000002190	0	0	2460	0	334	0
ENSMUSG00000002205	0	80	251	0	0	0
ENSMUSG00000002210	94	0	0	0	0	0
ENSMUSG00000002221	18	0	0	0	0	0
ENSMUSG00000002222	61	310	121	0	98	411
ENSMUSG00000002233	0	0	86	0	0	145
ENSMUSG00000002250	72	0	29	0	314	282
ENSMUSG00000002257	3	0	0	0	0	0
ENSMUSG00000002265	233	414	2316	0	1305	260
ENSMUSG00000002266	0	0	369	0	0	0
ENSMUSG00000002274	0	390	559	0	21	202
ENSMUSG00000002279	168	122	200	0	0	301
ENSMUSG00000002280	44	0	0	0	0	0
ENSMUSG00000002289	80	0	0	82	0	0
ENSMUSG00000002307	0	0	593	0	0	199
ENSMUSG00000002308	0	51	0	0	0	0
ENSMUSG00000002320	0	0	425	0	0	0
ENSMUSG00000002325	0	0	0	352	0	0
ENSMUSG00000002326	1	0	993	0	0	244
ENSMUSG00000002329	0	0	82	0	0	0
ENSMUSG00000002341	261	77	3747	223	79	246
ENSMUSG00000002342	0	0	678	0	0	0
ENSMUSG00000002343	0	0	302	0	0	0
ENSMUSG00000002346	0	0	108	0	208	0
ENSMUSG00000002365	0	0	934	0	0	0
ENSMUSG00000002379	0	0	2610	0	0	0
ENSMUSG00000002393	0	0	400	0	65	0
ENSMUSG00000002395	73	0	118	0	0	3
ENSMUSG00000002409	0	0	953	260	0	0
ENSMUSG00000002413	0	91	559	0	349	0
ENSMUSG00000002416	0	194	0	0	0	0
ENSMUSG00000002455	0	426	0	0	0	0
ENSMUSG00000002458	0	488	0	0	0	0
ENSMUSG00000002477	0	45	0	0	27	0
ENSMUSG00000002489	0	0	414	2668	0	0
ENSMUSG00000002496	246	242	883	33	0	20
ENSMUSG00000002504	396	0	197	0	319	0
ENSMUSG00000002524	754	432	2111	0	392	95
ENSMUSG00000002546	442	276	1293	0	837	357
ENSMUSG00000002550	0	0	381	0	311	0
ENSMUSG00000002580	0	0	0	0	0	43
