"Gene_ID","Symbol","iDEP_baseMean","iDEP_log2FC","iDEP_adjPval","Loupe_Average","Loupe_log2FC","Loupe_Pval","log2FC_diff","abs_log2FC_diff"
"ENSMUSG00000000001","Gnai3","1.268781515","0.201868383","NA","2.093061140358022","0.5046537695179957","0.585814380574951","-0.3027853865179957","0.3027853865179957"
"ENSMUSG00000000056","Narf","6.173750573","0.62968952","0.243132972","11.135085266704678","0.49657271671274605","0.2404736928560801","0.13311680328725395","0.13311680328725395"
"ENSMUSG00000000085","Scmh1","3.05817499","0.546096994","NA","2.7628407052725894","-0.2057889168083742","1","0.7518859108083742","0.7518859108083742"
"ENSMUSG00000000088","Cox5a","14.94158739","-0.376477388","0.55829544","17.330546242164424","-0.528887645861265","0.585814380574951","0.152410257861265","0.152410257861265"
"ENSMUSG00000000120","Ngfr","7.367540725","-1.153597162","0.450096781","5.776848747388141","-1.1402126178611387","0.39619591917391606","-0.013384544138861365","0.013384544138861365"
"ENSMUSG00000000125","Wnt3","3.851833926","-0.235534449","NA","2.7628407052725894","-0.886576910029595","0.2501079007047346","0.6510424610295951","0.6510424610295951"
"ENSMUSG00000000127","Fer","1.417970284","0.826515071","NA","1.7581713579007385","0.3270710501558347","0.8250123377215657","0.4994440208441653","0.4994440208441653"
"ENSMUSG00000000131","Xpo6","3.002317853","0.484804143","NA","3.432620270187156","0.09906566472004696","0.9410945332523978","0.38573847827995306","0.38573847827995306"
"ENSMUSG00000000134","Tfe3","1.020476398","-0.047466087","NA","1.2558366842148132","0.23484840570676635","0.9470710056158922","-0.28231449270676634","0.28231449270676634"
"ENSMUSG00000000142","Axin2","0.514838412","0.255093798","NA","1.3395591298291343","1.5239451081267559","0.06807220554925515","-1.268851310126756","1.268851310126756"
"ENSMUSG00000000148","Brat1","1.480838701","0.149980739","NA","1.6744489122864177","0.021444767597572967","1","0.12853597140242704","0.12853597140242704"
"ENSMUSG00000000149","Gna12","1.087460325","-1.112036783","NA","2.3442284772009847","0.270616520049621","0.7895287974867888","-1.3826533030496209","1.3826533030496209"
"ENSMUSG00000000168","Dlat","7.031803375","-0.24934447","0.68639747","7.6187425509032005","-0.5081046128049769","0.593518305672176","0.25876014280497683","0.25876014280497683"
"ENSMUSG00000000171","Sdhd","9.859501181","-0.098098265","0.857412725","11.972309722847887","-0.3508882807270326","0.8004031129840193","0.2527900157270326","0.2527900157270326"
"ENSMUSG00000000184","Ccnd2","0.907693145","-1.403439391","NA","1.5907264666720968","1.1734478610426229","0.2501079007047346","-2.576887252042623","2.576887252042623"
"ENSMUSG00000000194","Gpr107","2.363741074","0.568552006","NA","3.1814529333441937","0.24507078887313116","0.766835795227588","0.32348121712686884","0.32348121712686884"
"ENSMUSG00000000197","Nalcn","1.734593976","-0.999041369","NA","1.4232815754434551","-0.4408984464596277","0.9361190067077549","-0.5581429225403722","0.5581429225403722"
"ENSMUSG00000000202","Btbd17","2.067931432","-1.800204644","NA","2.176783585972343","0.7584103617637792","0.6420303477743676","-2.5586150057637793","2.5586150057637793"
"ENSMUSG00000000253","Gmpr","2.583152841","0.456898238","NA","3.097730487729873","0.09145448884531526","0.9608453967066286","0.36544374915468475","0.36544374915468475"
"ENSMUSG00000000266","Mid2","0.658231069","1.594354033","NA","1.0046693473718507","0.651495157847267","0.6659645325518326","0.9428588751527329","0.9428588751527329"
"ENSMUSG00000000276","Dgke","4.515979955","-0.612368995","NA","4.186122280716044","-0.4720418293666204","0.7271037681994682","-0.14032716563337955","0.14032716563337955"
"ENSMUSG00000000282","Mnt","0.647941962","1.035918688","NA","1.3395591298291343","1.1454334848730263","0.18118165612337778","-0.10951479687302634","0.10951479687302634"
"ENSMUSG00000000308","Ckmt1","19.75952141","0.074069633","0.888116734","23.69345210885281","-0.22797920671756788","0.9903494569617736","0.3020488397175679","0.3020488397175679"
"ENSMUSG00000000326","Comt","5.50102016","-0.237433422","NA","6.028016084231104","-0.31855162005110493","0.8647927046354201","0.08111819805110493","0.08111819805110493"
"ENSMUSG00000000339","Rtca","4.433044122","-0.588411796","NA","3.516342715801477","-0.9098424823184132","0.15070358793606436","0.3214306863184132","0.3214306863184132"
"ENSMUSG00000000340","Dbt","1.286214454","0.084335535","NA","1.1721142386004924","-0.3496493840936741","0.9410945332523978","0.4339849190936741","0.4339849190936741"
"ENSMUSG00000000355","Mcts1","2.238427418","0.219009653","NA","3.3488978245728354","0.1540304072153822","0.883718595968763","0.0649792457846178","0.0649792457846178"
"ENSMUSG00000000374","Trappc10","3.201926214","-0.593913714","NA","3.3488978245728354","-0.3046996820908594","0.9361190067077549","-0.28921403190914063","0.28921403190914063"
"ENSMUSG00000000378","Ccm2","1.364044279","-0.156759844","NA","2.3442284772009847","0.011529298732489979","1","-0.16828914273249","0.16828914273249"
"ENSMUSG00000000384","Tbrg4","2.189560599","-0.249830628","NA","2.8465631508869103","-0.03513876076879474","1","-0.21469186723120526","0.21469186723120526"
"ENSMUSG00000000399","Ndufa9","4.911551116","-0.145144204","NA","5.860571193002462","-0.2816670776115564","0.9512660158763512","0.1365228736115564","0.1365228736115564"
"ENSMUSG00000000416","Cttnbp2","21.38692569","1.394899411","0.118082706","19.92594205620837","-0.15663976581650108","1","1.551539176816501","1.551539176816501"
"ENSMUSG00000000420","Galnt1","5.764643729","-0.087115741","0.926000655","5.274514073702216","-0.37772632622224966","0.8271893080831781","0.2906105852222497","0.2906105852222497"
"ENSMUSG00000000439","Mkrn2","1.274158953","-0.763022129","NA","1.2558366842148132","-0.30048332728978944","0.9793714202557274","-0.46253880171021056","0.46253880171021056"
"ENSMUSG00000000441","Raf1","6.227635201","0.323737583","0.72391913","7.702464996517522","0.06554805033758582","0.9303860084266887","0.2581895326624142","0.2581895326624142"
"ENSMUSG00000000532","Acvr1b","2.166155439","0.061237128","NA","2.930285596501231","0.14697564968143162","0.9284592852432215","-0.08573852168143162","0.08573852168143162"
"ENSMUSG00000000538","Tom1l2","3.960007913","-0.350534387","NA","5.4419589649308575","0.02582320810814709","0.9862775489270822","-0.3763575951081471","0.3763575951081471"
"ENSMUSG00000000552","Zfp385a","17.06690014","0.05863203","0.926000655","18.16777069830763","-0.4411119102524097","0.6266937046081419","0.4997439402524097","0.4997439402524097"
"ENSMUSG00000000555","Itga5","0.7350306","-1.409279303","NA","0.16744489122864178","-2.4467040681408334","0.12998944937495066","1.0374247651408335","1.0374247651408335"
"ENSMUSG00000000561","Wdr77","3.356085842","-1.073632283","NA","3.516342715801477","-0.41523772572125073","0.7726686288626484","-0.6583945572787493","0.6583945572787493"
"ENSMUSG00000000567","Sox9","0.642272898","-0.503154384","NA","1.6744489122864177","0.8049529477008093","0.5776736551647264","-1.3081073317008092","1.3081073317008092"
"ENSMUSG00000000568","Hnrnpd","4.627618709","-0.130169601","NA","5.358236519316537","0.2008337488377019","0.8031979847272607","-0.33100334983770185","0.33100334983770185"
"ENSMUSG00000000581","C1d","1.923536321","-1.333472802","NA","1.5907264666720968","-0.9713236631713512","0.25533127175541404","-0.36214913882864874","0.36214913882864874"
"ENSMUSG00000000594","Gm2a","8.850804545","-0.765170567","0.194158031","7.451297659674559","-0.6745490455123275","0.3882811505233572","-0.09062152148767244","0.09062152148767244"
"ENSMUSG00000000605","Clcn4","7.670572021","-0.115157517","0.84826599","9.042024126346655","-0.14110824518838694","1","0.025950728188386937","0.025950728188386937"
"ENSMUSG00000000627","Sema4f","2.997262893","0.587622467","NA","4.102399835101723","0.5949116294808996","0.3825614885316004","-0.007289162480899614","0.007289162480899614"
"ENSMUSG00000000631","Myo18a","6.931893874","-0.094694171","0.91601304","6.111738529845424","-0.5841648839663445","0.5037229628875807","0.4894707129663445","0.4894707129663445"
"ENSMUSG00000000632","Sez6","6.396823258","-0.900324241","0.649013796","8.121077224589126","0.0908039668904812","0.9361190067077549","-0.9911282078904812","0.9911282078904812"
"ENSMUSG00000000708","Kat2b","1.329786987","-1.43386887","NA","0.753502010528888","-0.88928789430534","0.5573357922790527","-0.5445809756946599","0.5445809756946599"
"ENSMUSG00000000711","Rab5b","2.758884423","0.211988968","NA","4.437289617559007","0.00022828168787736303","1","0.21176068631212264","0.21176068631212264"
"ENSMUSG00000000738","Spg7","5.372609708","0.351086143","NA","4.772179400016291","-0.3911031796555733","0.7863624142992546","0.7421893226555734","0.7421893226555734"
"ENSMUSG00000000743","Chmp1a","3.529763684","-0.068881978","NA","4.855901845630611","0.08135766901489427","0.9355054781198655","-0.15023964701489428","0.15023964701489428"
"ENSMUSG00000000751","Rpa1","3.091409564","0.446856969","NA","6.279183421074067","0.6312984438604397","0.14872060651973537","-0.18444147486043966","0.18444147486043966"
"ENSMUSG00000000759","Tubgcp3","1.983379518","-0.499457697","NA","2.260506031586664","0.12835997151408485","0.944305806414515","-0.6278176685140848","0.6278176685140848"
"ENSMUSG00000000776","Polr3d","1.467233463","0.052760669","NA","1.7581713579007385","-0.12793285644065389","1","0.1806935254406539","0.1806935254406539"
"ENSMUSG00000000787","Ddx3x","8.861863292","-0.159046913","0.774925488","10.716473038633074","-0.09867051610243394","1","-0.060376396897566076","0.060376396897566076"
"ENSMUSG00000000804","Usp32","2.650741258","-0.483536113","NA","2.4279509228153056","-0.32716536994229495","0.9361190067077549","-0.15637074305770504","0.15637074305770504"
