gene_id,gene,ctl1,ctl2,ctl3,dta1,dta2,dta3
ENSMUSG00000000001,Gnai3,3,7,15,51,40,1
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,0,1,1,3,5,0
ENSMUSG00000000037,Scml2,0,0,0,1,0,0
ENSMUSG00000000049,Apoh,0,0,0,0,0,0
ENSMUSG00000000056,Narf,13,87,33,271,203,7
ENSMUSG00000000058,Cav2,0,1,1,3,2,0
ENSMUSG00000000078,Klf6,1,1,4,10,14,0
ENSMUSG00000000085,Scmh1,2,7,24,93,103,2
ENSMUSG00000000088,Cox5a,26,118,63,797,715,10
ENSMUSG00000000093,Tbx2,0,0,3,0,0,0
ENSMUSG00000000094,Tbx4,0,0,0,0,0,0
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,7,59,3,176,605,1
ENSMUSG00000000125,Wnt3,6,18,9,164,146,8
ENSMUSG00000000126,Wnt9a,0,0,1,2,3,0
ENSMUSG00000000127,Fer,0,7,14,35,50,3
ENSMUSG00000000131,Xpo6,1,15,25,86,112,0
ENSMUSG00000000134,Tfe3,2,5,8,34,32,2
ENSMUSG00000000142,Axin2,1,1,14,11,18,0
ENSMUSG00000000148,Brat1,1,7,12,42,57,5
ENSMUSG00000000149,Gna12,1,6,21,52,69,0
ENSMUSG00000000154,Slc22a18,0,0,0,0,0,0
ENSMUSG00000000157,Itgb2l,0,0,0,0,0,0
ENSMUSG00000000159,Igsf5,0,0,0,0,0,0
ENSMUSG00000000167,Pih1d2,0,0,2,0,2,0
ENSMUSG00000000168,Dlat,13,57,21,344,313,6
ENSMUSG00000000171,Sdhd,23,84,36,494,422,15
ENSMUSG00000000182,Fgf23,0,0,0,1,0,0
ENSMUSG00000000183,Fgf6,0,0,0,0,0,0
ENSMUSG00000000184,Ccnd2,0,0,19,16,28,0
ENSMUSG00000000194,Gpr107,4,16,18,94,70,2
ENSMUSG00000000197,Nalcn,1,6,10,66,55,2
ENSMUSG00000000202,Btbd17,0,1,25,70,10,0
ENSMUSG00000000204,Slfn4,0,0,0,0,0,0
ENSMUSG00000000214,Th,0,5,2,24,24,0
ENSMUSG00000000215,Ins2,0,0,0,0,0,0
ENSMUSG00000000216,Scnn1g,0,0,0,0,0,0
ENSMUSG00000000223,Drp2,0,0,0,23,39,0
ENSMUSG00000000244,Tspan32,0,0,0,0,0,0
ENSMUSG00000000247,Lhx2,0,0,0,0,0,0
ENSMUSG00000000248,Clec2g,0,0,0,0,0,0
ENSMUSG00000000253,Gmpr,5,23,9,104,72,4
ENSMUSG00000000263,Glra1,0,0,0,2,0,0
ENSMUSG00000000266,Mid2,4,5,3,23,16,2
ENSMUSG00000000275,Trim25,0,0,0,0,1,0
ENSMUSG00000000276,Dgke,4,19,27,197,155,6
ENSMUSG00000000278,Scpep1,0,0,6,21,14,1
ENSMUSG00000000282,Mnt,1,6,9,21,17,0
ENSMUSG00000000290,Itgb2,0,0,3,0,0,0
ENSMUSG00000000295,Hddc2,1,1,2,17,14,1
ENSMUSG00000000296,Tpd52l1,0,0,3,8,2,0
ENSMUSG00000000301,Pemt,0,1,1,6,8,0
ENSMUSG00000000303,Cdh1,0,0,0,0,0,0
ENSMUSG00000000305,Cdh4,0,0,2,4,7,0
ENSMUSG00000000308,Ckmt1,46,137,100,909,758,20
ENSMUSG00000000317,Bcl6b,0,0,0,0,0,0
ENSMUSG00000000318,Clec10a,0,0,1,0,0,0
ENSMUSG00000000320,Alox12,0,1,0,0,2,0
ENSMUSG00000000326,Comt,20,22,30,220,237,4
ENSMUSG00000000339,Rtca,7,17,18,201,204,4
ENSMUSG00000000340,Dbt,2,7,5,43,49,4
ENSMUSG00000000346,Dazap2,1,4,6,21,17,0
ENSMUSG00000000355,Mcts1,3,25,12,86,98,2
ENSMUSG00000000359,Rem1,0,0,0,0,1,0
ENSMUSG00000000365,Rnf17,0,0,0,4,20,0
ENSMUSG00000000374,Trappc10,4,19,17,115,137,4
ENSMUSG00000000378,Ccm2,4,13,11,77,65,3
ENSMUSG00000000381,Wap,0,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,3,10,21,87,92,2
ENSMUSG00000000385,Tmprss2,0,0,0,5,2,0
ENSMUSG00000000392,Fap,0,0,0,2,1,0
