"symbol","ensembl_ID","User_ID","baseMean","CTL-DTA_log2FC","CTL-DTA_adjPval","Processed data:","search_label","ctl1","ctl2","ctl3","dta1","dta2","dta3"
"Pcp4","ENSMUSG00000090223","ENSMUSG00000090223",2353.45228766459,-0.374794677509644,0.999957806181843,"","Pcp4 | ENSMUSG00000090223",11.3195607243224,11.4907586384087,9.51745045540482,11.5447463589368,11.6578388340362,10.7809437683916
"Atp1b1","ENSMUSG00000026576","ENSMUSG00000026576",3448.00687737346,0.0722922897627307,0.999957806181843,"","Atp1b1 | ENSMUSG00000026576",12.3939121611436,12.0534531593347,9.94368598690443,11.7550398215693,11.4352329811818,11.9178060280548
"Aldoc","ENSMUSG00000017390","ENSMUSG00000017390",2389.69045528879,0.331413003459104,NA,"","Aldoc | ENSMUSG00000017390",12.8367197731582,7.13184304373066,9.09825723490665,11.3183620324927,11.5258407041319,9.74160387677134
"Car8","ENSMUSG00000041261","ENSMUSG00000041261",2944.92715534136,0.225581694837786,0.999957806181843,"","Car8 | ENSMUSG00000041261",11.8604988721437,12.266237666063,9.80237730636293,11.546967413517,11.2643956390876,11.4008624806522
"Itpr1","ENSMUSG00000030102","ENSMUSG00000030102",2669.71711762617,0.0438221430760642,0.999957806181843,"","Itpr1 | ENSMUSG00000030102",12.0035335580931,11.6793447363812,9.56934621503308,11.4278446568314,11.1144781527683,11.5140670414489
"Calb1","ENSMUSG00000028222","ENSMUSG00000028222",2271.68102490013,0.0269719899792695,0.999957806181843,"","Calb1 | ENSMUSG00000028222",11.7185821482208,11.5326199168372,9.13845570282793,11.3685248612868,11.1563792521173,10.8386956978925
"Pcp2","ENSMUSG00000004630","ENSMUSG00000004630",1498.08866952958,-0.300070002862559,0.999957806181843,"","Pcp2 | ENSMUSG00000004630",10.5568328267984,10.8926767888861,9.31953331090848,10.8162333799679,11.0337524388219,10.0587156254732
"Pvalb","ENSMUSG00000005716","ENSMUSG00000005716",1532.33746992617,0.0151909343445061,0.999957806181843,"","Pvalb | ENSMUSG00000005716",10.8569779980561,11.134487520433,9.06804977617911,10.9345569631334,10.7169103339956,9.87376635500198
"Nsg1","ENSMUSG00000029126","ENSMUSG00000029126",2031.6926120292,0.295832563991544,0.999957806181843,"","Nsg1 | ENSMUSG00000029126",11.6654185145824,11.4896102214657,9.24784662127227,10.9020225632081,10.6006579272333,10.9773826953953
"Slc1a6","ENSMUSG00000005357","ENSMUSG00000005357",1554.91368933897,-0.171120142901946,0.999957806181843,"","Slc1a6 | ENSMUSG00000005357",11.4821149185532,10.2700822477989,8.28383505950854,10.6196947620259,10.8041153121467,10.6302398043827
"Dner","ENSMUSG00000036766","ENSMUSG00000036766",1834.99693350107,0.0219211941464938,0.999957806181843,"","Dner | ENSMUSG00000036766",11.5189746502311,11.1403536519184,8.52530306469309,10.7293711408777,10.5733249307535,11.1371592741534
"Atp2a2","ENSMUSG00000029467","ENSMUSG00000029467",1510.497387446,-0.215169577487413,0.999957806181843,"","Atp2a2 | ENSMUSG00000029467",10.4620315406393,11.1771997619916,8.89738724329079,10.7564952221469,9.96475531392589,11.0732948299212
"Itm2b","ENSMUSG00000022108","ENSMUSG00000022108",1630.41634668134,0.300804954895338,0.999957806181843,"","Itm2b | ENSMUSG00000022108",11.5611667455263,10.8857093109123,8.96451927305839,10.5713750636992,10.1123689005403,10.785146457554
"Ywhah","ENSMUSG00000018965","ENSMUSG00000018965",1034.47534554302,0.0513569863581475,0.999957806181843,"","Ywhah | ENSMUSG00000018965",10.4753316907345,10.4950534231827,8.27424500866291,10.3714486258704,9.93879688942933,9.5474494773032
"Atp1a3","ENSMUSG00000040907","ENSMUSG00000040907",1347.1263708178,0.113242473160741,0.999957806181843,"","Atp1a3 | ENSMUSG00000040907",10.8637366531871,10.9159466570015,8.70379335627787,10.3366853058771,10.0874797148568,10.5632989761886
"mt-Co2","ENSMUSG00000064354","ENSMUSG00000064354",1135.62603291618,0.000860515841235051,0.999957806181843,"","mt-Co2 | ENSMUSG00000064354",10.5775366574769,10.4858678617123,8.84652402644658,10.0420964089976,10.1811035968568,10.2288109088739
"Kcnc3","ENSMUSG00000062785","ENSMUSG00000062785",1285.77974300243,0.241378087245926,0.999957806181843,"","Kcnc3 | ENSMUSG00000062785",10.9036368679487,10.8049149077534,8.92522894857168,10.2581275727614,9.71588367009918,10.5336310860121
"Atp2b2","ENSMUSG00000030302","ENSMUSG00000030302",1067.29344456843,0.105093583879752,0.999957806181843,"","Atp2b2 | ENSMUSG00000030302",10.5102107324694,10.5256298905918,8.64175191949899,10.0277958496255,9.85134341982347,10.1397192163297
"Gng13","ENSMUSG00000025739","ENSMUSG00000025739",779.19436649105,0.0968674097085375,0.999957806181843,"","Gng13 | ENSMUSG00000025739",10.2306429155995,9.88264483787126,8.17981177730731,9.92756100054502,9.5446664121975,9.08472081452856
