"symbol","ensembl_ID","User_ID","baseMean","CTL.DTA_log2FC","CTL.DTA_adjPval","Processed.data.","search_label","ctl1","ctl2","ctl3","ctl4","ctl5","ctl6","ctl7","dta1","dta2","dta3","dta4","dta5","dta6","dta7","dta8","dta9","dta10","dta11","dta12","dta13","dta14","dta15","dta16","dta17","dta18","dta19","dta20","dta21","dta22","dta23","dta24","dta25","dta26","dta27","dta28","dta29","dta30","dta31","dta32","dta33","dta34","dta35","dta36","dta37","dta38","dta39","dta40","dta41","dta42","dta43","dta44","dta45","dta46","ctl1_iDEP","ctl2_iDEP","ctl3_iDEP","ctl4_iDEP","ctl5_iDEP","ctl6_iDEP","ctl7_iDEP","dta1_iDEP","dta2_iDEP","dta3_iDEP","dta4_iDEP","dta5_iDEP","dta6_iDEP","dta7_iDEP","dta8_iDEP","dta9_iDEP","dta10_iDEP","dta11_iDEP","dta12_iDEP","dta13_iDEP","dta14_iDEP","dta15_iDEP","dta16_iDEP","dta17_iDEP","dta18_iDEP","dta19_iDEP","dta20_iDEP","dta21_iDEP","dta22_iDEP","dta23_iDEP","dta24_iDEP","dta25_iDEP","dta26_iDEP","dta27_iDEP","dta28_iDEP","dta29_iDEP","dta30_iDEP","dta31_iDEP","dta32_iDEP","dta33_iDEP","dta34_iDEP","dta35_iDEP","dta36_iDEP","dta37_iDEP","dta38_iDEP","dta39_iDEP","dta40_iDEP","dta41_iDEP","dta42_iDEP","dta43_iDEP","dta44_iDEP","dta45_iDEP","dta46_iDEP","DTA.CTL_log2FC"
"Syt7","ENSMUSG00000024743","ENSMUSG00000024743",50.79034081,1.330365422,0.000806912,NA,"Syt7 | ENSMUSG00000024743",26,98,9,295,90,39,136,50,136,120,125,7,82,36,17,135,7,87,83,46,21,23,10,6,24,74,15,4,72,154,205,12,6,114,90,110,111,125,153,32,37,10,39,148,100,62,341,251,22,15,29,11,21,26,98,9,295,90,39,136,50,136,120,125,7,82,36,17,135,7,87,83,46,21,23,10,6,24,74,15,4,72,154,205,12,6,114,90,110,111,125,153,32,37,10,39,148,100,62,341,251,22,15,29,11,21,-1.330365422
"Muc3a","ENSMUSG00000094840","ENSMUSG00000094840",9.592255183,3.204361657,0.001247515,NA,"Muc3a | ENSMUSG00000094840",1,12,3,18,33,29,11,4,9,11,12,0,3,3,0,8,2,7,4,4,4,2,1,0,6,9,2,0,11,8,19,2,1,3,4,23,2,11,2,17,3,0,3,2,14,2,65,1,1,1,15,1,0,1,12,3,18,33,29,11,4,9,11,12,0,3,3,0,8,2,7,4,4,4,2,1,0,6,9,2,0,11,8,19,2,1,3,4,23,2,11,2,17,3,0,3,2,14,2,65,1,1,1,15,1,0,-3.204361657
"Gria2","ENSMUSG00000033981","ENSMUSG00000033981",45.52406394,1.687326265,0.002920037,NA,"Gria2 | ENSMUSG00000033981",6,40,11,198,96,62,112,43,82,81,82,5,49,24,7,88,4,56,59,24,26,28,13,8,29,41,17,7,61,104,170,3,7,89,48,82,78,130,111,58,61,8,75,126,108,61,136,242,11,8,49,4,8,6,40,11,198,96,62,112,43,82,81,82,5,49,24,7,88,4,56,59,24,26,28,13,8,29,41,17,7,61,104,170,3,7,89,48,82,78,130,111,58,61,8,75,126,108,61,136,242,11,8,49,4,8,-1.687326265
"Trio","ENSMUSG00000022263","ENSMUSG00000022263",23.60561529,1.368731222,0.011981294,NA,"Trio | ENSMUSG00000022263",3,28,8,116,29,34,68,30,61,35,59,3,36,10,8,41,6,27,43,10,11,18,5,2,21,22,11,4,41,65,102,2,2,50,29,51,44,51,52,21,27,2,25,55,59,28,99,102,5,4,29,4,8,3,28,8,116,29,34,68,30,61,35,59,3,36,10,8,41,6,27,43,10,11,18,5,2,21,22,11,4,41,65,102,2,2,50,29,51,44,51,52,21,27,2,25,55,59,28,99,102,5,4,29,4,8,-1.368731222
"Grik1","ENSMUSG00000022935","ENSMUSG00000022935",9.051409639,1.407258009,0.011981294,NA,"Grik1 | ENSMUSG00000022935",4,12,3,51,19,10,7,13,18,18,27,1,14,4,1,39,1,17,19,4,5,1,0,0,3,10,1,0,25,37,44,1,2,15,19,22,36,39,33,7,14,3,18,22,28,11,55,39,3,1,5,2,0,4,12,3,51,19,10,7,13,18,18,27,1,14,4,1,39,1,17,19,4,5,1,0,0,3,10,1,0,25,37,44,1,2,15,19,22,36,39,33,7,14,3,18,22,28,11,55,39,3,1,5,2,0,-1.407258009
"Cpeb1","ENSMUSG00000025586","ENSMUSG00000025586",10.93874698,2.789536854,0.011981294,NA,"Cpeb1 | ENSMUSG00000025586",0,5,0,40,48,23,8,5,19,28,17,0,13,1,0,11,1,3,11,0,4,6,0,0,12,18,1,0,8,14,27,0,1,14,11,28,8,42,10,5,5,0,8,30,9,16,30,39,1,2,21,0,0,0,5,0,40,48,23,8,5,19,28,17,0,13,1,0,11,1,3,11,0,4,6,0,0,12,18,1,0,8,14,27,0,1,14,11,28,8,42,10,5,5,0,8,30,9,16,30,39,1,2,21,0,0,-2.789536854
"Asph","ENSMUSG00000028207","ENSMUSG00000028207",69.04694491,0.783138418,0.011981294,NA,"Asph | ENSMUSG00000028207",37,136,30,527,56,31,157,76,177,135,188,15,101,40,47,137,12,123,153,55,21,36,15,15,30,66,15,14,170,211,418,12,11,203,150,233,158,231,190,31,70,21,108,171,176,115,320,242,29,24,41,11,48,37,136,30,527,56,31,157,76,177,135,188,15,101,40,47,137,12,123,153,55,21,36,15,15,30,66,15,14,170,211,418,12,11,203,150,233,158,231,190,31,70,21,108,171,176,115,320,242,29,24,41,11,48,-0.783138418
"Arhgap26","ENSMUSG00000118193","ENSMUSG00000118193",22.50023211,1.037992577,0.011981294,NA,"Arhgap26 | ENSMUSG00000118193",9,48,2,158,20,28,47,32,73,36,70,2,40,15,7,72,6,38,73,21,13,7,3,1,8,16,2,4,38,64,113,4,5,66,25,58,52,46,92,12,28,2,36,76,82,50,110,140,4,4,18,4,12,9,48,2,158,20,28,47,32,73,36,70,2,40,15,7,72,6,38,73,21,13,7,3,1,8,16,2,4,38,64,113,4,5,66,25,58,52,46,92,12,28,2,36,76,82,50,110,140,4,4,18,4,12,-1.037992577
"Auts2","ENSMUSG00000029673","ENSMUSG00000029673",44.96743766,1.616307432,0.017375627,NA,"Auts2 | ENSMUSG00000029673",7,27,5,190,54,88,157,41,90,68,82,3,53,18,2,57,8,40,85,12,24,44,8,3,33,34,19,13,64,67,150,8,4,76,53,91,102,125,135,48,87,5,82,126,157,78,168,281,5,7,45,4,11,7,27,5,190,54,88,157,41,90,68,82,3,53,18,2,57,8,40,85,12,24,44,8,3,33,34,19,13,64,67,150,8,4,76,53,91,102,125,135,48,87,5,82,126,157,78,168,281,5,7,45,4,11,-1.616307432
"Plekhd1","ENSMUSG00000066438","ENSMUSG00000066438",39.52424556,1.260656433,0.022520742,NA,"Plekhd1 | ENSMUSG00000066438",6,45,7,238,44,56,48,50,131,35,80,3,73,17,6,121,12,66,73,10,14,8,7,1,15,27,5,7,91,69,174,6,12,70,69,113,127,95,201,45,68,14,86,139,178,76,224,163,24,11,33,4,9,6,45,7,238,44,56,48,50,131,35,80,3,73,17,6,121,12,66,73,10,14,8,7,1,15,27,5,7,91,69,174,6,12,70,69,113,127,95,201,45,68,14,86,139,178,76,224,163,24,11,33,4,9,-1.260656433
