"symbol","ensembl_ID","User_ID","baseMean","CTL.DTA_log2FC","CTL.DTA_adjPval","Processed.data.","search_label","ctl1","ctl2","ctl3","ctl4","ctl5","ctl6","ctl7","dta1","dta2","dta3","dta4","dta5","dta6","dta7","dta8","dta9","dta10","dta11","dta12","dta13","dta14","dta15","dta16","dta17","dta18","dta19","dta20","dta21","dta22","dta23","dta24","dta25","dta26","dta27","dta28","dta29","dta30","dta31","dta32","dta33","dta34","dta35","dta36","dta37","dta38","dta39","dta40","dta41","dta42","dta43","dta44","dta45","dta46","ctl1_iDEP","ctl2_iDEP","ctl3_iDEP","ctl4_iDEP","ctl5_iDEP","ctl6_iDEP","ctl7_iDEP","dta1_iDEP","dta2_iDEP","dta3_iDEP","dta4_iDEP","dta5_iDEP","dta6_iDEP","dta7_iDEP","dta8_iDEP","dta9_iDEP","dta10_iDEP","dta11_iDEP","dta12_iDEP","dta13_iDEP","dta14_iDEP","dta15_iDEP","dta16_iDEP","dta17_iDEP","dta18_iDEP","dta19_iDEP","dta20_iDEP","dta21_iDEP","dta22_iDEP","dta23_iDEP","dta24_iDEP","dta25_iDEP","dta26_iDEP","dta27_iDEP","dta28_iDEP","dta29_iDEP","dta30_iDEP","dta31_iDEP","dta32_iDEP","dta33_iDEP","dta34_iDEP","dta35_iDEP","dta36_iDEP","dta37_iDEP","dta38_iDEP","dta39_iDEP","dta40_iDEP","dta41_iDEP","dta42_iDEP","dta43_iDEP","dta44_iDEP","dta45_iDEP","dta46_iDEP","DTA.CTL_log2FC"
"Eef1a2","ENSMUSG00000016349","ENSMUSG00000016349",78.87794107,-0.592755595,0.033415894,NA,"Eef1a2 | ENSMUSG00000016349",27,112,13,558,9,2,437,125,287,126,247,12,196,61,23,273,22,164,220,55,36,29,11,19,18,40,72,25,246,211,437,18,17,188,213,309,270,323,394,30,68,27,137,288,471,129,574,484,54,28,25,26,40,27,112,13,558,9,2,437,125,287,126,247,12,196,61,23,273,22,164,220,55,36,29,11,19,18,40,72,25,246,211,437,18,17,188,213,309,270,323,394,30,68,27,137,288,471,129,574,484,54,28,25,26,40,0.592755595
"Ncl","ENSMUSG00000026234","ENSMUSG00000026234",8.053196908,-1.164764555,0.033415894,NA,"Ncl | ENSMUSG00000026234",0,4,1,36,2,1,38,15,32,14,30,1,15,7,3,34,1,9,25,7,5,3,1,1,5,6,9,4,25,14,31,1,2,21,13,24,39,24,42,8,9,5,26,19,39,17,62,47,7,1,2,1,1,0,4,1,36,2,1,38,15,32,14,30,1,15,7,3,34,1,9,25,7,5,3,1,1,5,6,9,4,25,14,31,1,2,21,13,24,39,24,42,8,9,5,26,19,39,17,62,47,7,1,2,1,1,1.164764555
"Pfn2","ENSMUSG00000027805","ENSMUSG00000027805",15.66604114,-0.998554232,0.033415894,NA,"Pfn2 | ENSMUSG00000027805",3,15,1,97,1,0,94,29,62,24,39,2,39,13,4,58,9,33,41,6,10,7,2,2,4,12,11,7,54,49,101,2,6,33,28,58,61,84,89,5,28,9,30,54,108,21,136,146,11,2,4,1,4,3,15,1,97,1,0,94,29,62,24,39,2,39,13,4,58,9,33,41,6,10,7,2,2,4,12,11,7,54,49,101,2,6,33,28,58,61,84,89,5,28,9,30,54,108,21,136,146,11,2,4,1,4,0.998554232
"Rnf187","ENSMUSG00000020496","ENSMUSG00000020496",38.59162798,-0.696232174,0.03736963,NA,"Rnf187 | ENSMUSG00000020496",18,48,6,217,1,2,234,63,127,59,77,10,86,30,11,145,11,70,103,27,19,16,7,12,9,19,27,18,114,102,206,6,7,85,79,161,153,191,207,15,58,15,54,124,226,71,298,337,32,10,9,7,15,18,48,6,217,1,2,234,63,127,59,77,10,86,30,11,145,11,70,103,27,19,16,7,12,9,19,27,18,114,102,206,6,7,85,79,161,153,191,207,15,58,15,54,124,226,71,298,337,32,10,9,7,15,0.696232174
"Ptn","ENSMUSG00000029838","ENSMUSG00000029838",6.605468287,-3.354610137,0.04832339,NA,"Ptn | ENSMUSG00000029838",0,2,0,4,0,0,116,9,4,11,1,2,7,8,6,3,5,4,4,2,3,2,0,0,1,2,9,26,3,9,36,1,0,2,3,17,9,7,6,0,9,5,8,0,9,2,6,172,1,1,0,0,8,0,2,0,4,0,0,116,9,4,11,1,2,7,8,6,3,5,4,4,2,3,2,0,0,1,2,9,26,3,9,36,1,0,2,3,17,9,7,6,0,9,5,8,0,9,2,6,172,1,1,0,0,8,3.354610137
"Prdx5","ENSMUSG00000024953","ENSMUSG00000024953",23.01170179,-0.776463758,0.064463401,NA,"Prdx5 | ENSMUSG00000024953",3,26,4,150,4,1,133,44,91,43,54,0,59,10,7,80,7,33,57,12,13,8,4,1,9,17,21,7,67,72,141,6,8,57,64,98,97,100,121,7,22,11,44,70,163,44,245,181,17,8,8,4,6,3,26,4,150,4,1,133,44,91,43,54,0,59,10,7,80,7,33,57,12,13,8,4,1,9,17,21,7,67,72,141,6,8,57,64,98,97,100,121,7,22,11,44,70,163,44,245,181,17,8,8,4,6,0.776463758
"Pitpna","ENSMUSG00000017781","ENSMUSG00000017781",9.6713768,-0.966771244,0.066194277,NA,"Pitpna | ENSMUSG00000017781",2,13,0,46,2,0,75,14,43,17,20,0,27,4,5,38,2,20,17,9,5,4,4,1,3,3,7,5,34,27,58,0,2,25,30,40,45,40,49,6,18,3,24,37,54,11,66,87,4,4,3,3,3,2,13,0,46,2,0,75,14,43,17,20,0,27,4,5,38,2,20,17,9,5,4,4,1,3,3,7,5,34,27,58,0,2,25,30,40,45,40,49,6,18,3,24,37,54,11,66,87,4,4,3,3,3,0.966771244
"Crmp1","ENSMUSG00000029121","ENSMUSG00000029121",34.450346,-1.045876367,0.066194277,NA,"Crmp1 | ENSMUSG00000029121",10,25,5,178,2,4,113,61,168,33,68,2,123,19,8,125,9,57,67,10,29,12,10,5,11,12,24,12,96,87,180,6,4,59,74,81,215,102,337,27,100,14,128,158,301,94,206,305,11,12,10,2,6,10,25,5,178,2,4,113,61,168,33,68,2,123,19,8,125,9,57,67,10,29,12,10,5,11,12,24,12,96,87,180,6,4,59,74,81,215,102,337,27,100,14,128,158,301,94,206,305,11,12,10,2,6,1.045876367
"Pdhx","ENSMUSG00000010914","ENSMUSG00000010914",5.853654351,-1.249217988,0.07282398,NA,"Pdhx | ENSMUSG00000010914",0,8,1,19,0,0,15,10,24,16,12,3,13,2,4,27,4,6,16,0,2,3,3,1,3,3,2,3,15,15,25,1,0,6,12,8,27,21,23,4,13,1,14,24,32,16,64,47,1,3,3,1,1,0,8,1,19,0,0,15,10,24,16,12,3,13,2,4,27,4,6,16,0,2,3,3,1,3,3,2,3,15,15,25,1,0,6,12,8,27,21,23,4,13,1,14,24,32,16,64,47,1,3,3,1,1,1.249217988
"Cox7c","ENSMUSG00000017778","ENSMUSG00000017778",13.20024107,-0.905338174,0.07282398,NA,"Cox7c | ENSMUSG00000017778",1,16,3,73,0,1,72,24,47,22,26,0,27,7,3,57,12,25,27,6,8,10,3,2,4,9,4,7,51,44,58,4,2,35,39,57,56,66,105,6,12,4,22,38,91,23,102,79,10,3,2,2,4,1,16,3,73,0,1,72,24,47,22,26,0,27,7,3,57,12,25,27,6,8,10,3,2,4,9,4,7,51,44,58,4,2,35,39,57,56,66,105,6,12,4,22,38,91,23,102,79,10,3,2,2,4,0.905338174
