"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.56344469030439e-18,1.07372286968469,0.861,0.599,1.25092692352511e-13,"0","Cbln3"
1.19913134873192e-17,0.936706048839172,0.846,0.593,2.28542443754816e-13,"0","Slc17a7"
1.48403059087105e-17,0.805497235754751,0.924,0.808,2.82841390314114e-13,"0","Atp1a1"
4.36975104359892e-17,0.651209410614126,0.992,0.922,8.32830851399518e-13,"0","Cadm3"
4.81832579112742e-16,0.793985501248011,0.981,0.844,9.18324712530975e-12,"0","Cbln1"
3.15802851057933e-15,0.673717763642216,0.966,0.831,6.01888653831314e-11,"0","Adcy1"
1.74072197835823e-14,0.778923754236662,0.833,0.635,3.31764201855295e-10,"0","Fat2"
2.4836605604603e-14,0.856391547644026,0.826,0.61,4.73360866218128e-10,"0","Slc8a2"
8.97301674988791e-14,0.909357918853199,0.829,0.557,1.71016726236114e-09,"0","Gabra6"
1.39128850004445e-12,0.799709931966472,0.577,0.415,2.65165675223472e-08,"0","Syt12"
2.77028001127307e-12,0.466992512025544,0.877,0.797,5.27987667348534e-08,"0","Nrxn2"
6.04546664841748e-12,0.548222622827442,0.929,0.772,1.15220548852189e-07,"0","Atp1b2"
7.38498983193299e-12,0.561300391230545,0.916,0.788,1.40750521206811e-07,"0","Syne1"
1.29406282282601e-11,0.692388535615624,0.888,0.688,2.46635433402409e-07,"0","Grm4"
1.31024864327202e-10,-2.15339530944852,0.077,0.28,2.49720288921214e-06,"0","Kif21b"
1.6901644402341e-10,0.83437277613265,0.755,0.527,3.22128440664217e-06,"0","St8sia5"
2.70108587989895e-10,0.772698948644045,0.828,0.638,5.14799957849942e-06,"0","Atp2b3"
2.86648171911682e-10,0.655593699663862,0.899,0.778,5.46322750846474e-06,"0","Tmem132a"
5.60034735706012e-10,0.840055184674715,0.606,0.433,1.06737020278209e-05,"0","Tspan9"
6.47042497269891e-10,0.51311063076828,0.927,0.809,1.23319829554669e-05,"0","Fnbp1"
7.66338093255548e-10,0.715980328138761,0.831,0.671,1.46056377193575e-05,"0","Kcnc1"
1.87757537289162e-09,0.638801112189009,0.844,0.698,3.57847090319414e-05,"0","Tspan7"
2.38428319461918e-09,0.816808207781899,0.718,0.46,4.5442053406247e-05,"0","Grin2c"
5.81888534836361e-09,0.487776170189504,0.805,0.732,0.000110902135854462,"0","Aplp2"
6.21094086970509e-09,0.418511230327826,0.984,0.933,0.000118374322035709,"0","Gpm6a"
