"cluster","gene","avg_log2FC","p_val_adj","pct.1","pct.2","rank"
0,"Grin2c",1.38266494927698,3.64327840513019e-15,0.856,0.504,1
0,"Rnf112",1.14690356769025,9.29372084026801e-15,0.886,0.609,2
0,"Epb41l4b",1.13223627634001,1.05547468006512e-07,0.654,0.423,3
0,"Khnyn",1.06409607900157,0.000787556527286971,0.499,0.34,4
1,"mt-Nd3",2.24825990251765,1.89855866547037e-11,0.475,0.104,1
1,"mt-Nd1",2.18932531284385,3.08655788924961e-24,0.747,0.242,2
1,"mt-Nd4",2.07421074657919,3.79531431852624e-05,0.404,0.089,3
1,"mt-Co3",2.02691825579538,2.00273891133419e-20,0.812,0.325,4
2,"Igfbpl1",3.35200588323734,2.94803679073894e-11,0.469,0.126,1
2,"Sfrp1",2.95191648782627,0.0481794385884499,0.147,0.033,2
2,"Ccnd2",2.72515343162883,0.00508227200193612,0.209,0.059,3
2,"Gpc2",2.5067253995429,0.00131420534588423,0.25,0.072,4
3,"Stac2",5.63797903423796,2.86803233674849e-14,0.379,0.007,1
3,"Camk1g",5.54144954715362,9.59550210387622e-23,0.482,0.008,2
3,"Vmn2r5",5.52890027334208,0.000836721607129017,0.114,0.001,3
3,"Trpc7",5.37297915207649,4.21426584100058e-05,0.191,0.003,4
4,"Scube1",5.12054340389458,1.35781429450111e-08,0.284,0.013,1
4,"Slc6a5",4.88121138358213,7.67975684572085e-07,0.244,0.012,2
4,"Pax2",4.7244752534326,6.32437126246711e-07,0.213,0.012,3
4,"Lbx1",4.4625595881267,0.000453948296057723,0.136,0.008,4
5,"Tmprss3",6.90067384452766,0.00876526629744102,0.109,0.001,1
5,"Wif1",6.58542232541312,2.12737617151826e-13,0.321,0.004,2
5,"Proca1",6.5684808588544,1.86930823320163e-05,0.213,0.003,3
5,"Itih3",6.49873660790504,2.48264369328573e-44,0.737,0.02,4
6,"Cnmd",6.95418300391767,6.90390040976641e-09,0.237,0.003,1
6,"Cyp26b1",6.75106927413848,1.26413390882132e-51,0.837,0.021,2
6,"Prss35",6.7434285385353,2.63970096707324e-27,0.499,0.006,3
6,"Chad",6.74271421254886,1.25319627212032e-05,0.165,0.002,4
7,"Rbpjl",8.29355769642225,0.000836721607129017,0.147,0.001,1
7,"S100a3",8.28202915147381,3.6263947747461e-09,0.248,0.001,2
7,"Matn4",8.13476241589975,9.41602109226734e-40,0.658,0.007,3
7,"C1ql2",7.90469575138501,0.00488800641198564,0.125,0.001,4
8,"Prkag3",7.78048055485552,1.25318671078898e-05,0.194,0,1
8,"Sycp1",7.6897514122053,5.66061760203646e-16,0.346,0.001,2
8,"Smpx",7.32562635128026,0.00876526629744102,0.122,0,3
8,"Wnt10b",7.24796407058546,0.00488800641198564,0.112,0,4
9,"Hapln2",8.1196642280835,9.51418837492204e-33,0.616,0.011,1
9,"Galnt6",7.77763470853323,1.74723218184224e-25,0.488,0.002,2
9,"Tnni1",7.72355387242775,1.55720477237457e-22,0.482,0.004,3
9,"Nkx6-2",7.59171179697235,6.05396218716222e-29,0.586,0.003,4
10,"Robo4",8.42262947304143,2.18142405418717e-47,0.789,0.004,1
10,"Igsf5",8.26201113379925,2.67918715640957e-10,0.279,0.001,2
10,"Ushbp1",8.22843871318383,8.26110514667518e-52,0.824,0.005,3
10,"Il2rg",8.18534382626301,3.59629489699961e-21,0.443,0.001,4
11,"Tlr9",11.6464874525343,0.00858526534707904,0.121,0,1
11,"Lrrc25",10.9637615469772,1.38382491536814e-17,0.385,0,2
11,"Ccl12",10.9044217536159,1.1967116418766e-06,0.195,0,3
11,"Susd3",10.6247861476821,3.41655302975711e-08,0.224,0,4
12,"Spo11",10.8905998813104,1.63914462689245e-07,0.212,0,1
12,"Mpzl2",10.1566990794077,3.73154325705309e-09,0.242,0,2
12,"Foxl1",9.56126994484123,0.0332959822806711,0.109,0,3
12,"Col1a1",9.51514023982846,3.18712584413471e-62,0.976,0.035,4
13,"Pif1",7.9176885843095,2.95472686434177e-28,0.555,0.004,1
13,"Troap",7.78322962055891,2.1561725975379e-30,0.596,0.005,2
13,"Aurkb",7.72454947740497,7.7493805250014e-22,0.459,0.003,3
13,"Kif18b",7.60833812403916,5.70962481254018e-40,0.712,0.007,4
14,"Nodal",10.1365189481282,2.92701003787252e-10,0.272,0,1
14,"Rem1",9.68421330728304,2.3510056963809e-28,0.587,0.002,2
14,"Ace2",9.46496218513628,2.54605074758869e-14,0.348,0.001,3
14,"Slc38a11",9.44807599158045,5.4120113009861e-27,0.565,0.002,4
