"cluster","gene","avg_log2FC","p_val_adj","pct.1","pct.2","rank"
0,"Cbln3",1.07372286968469,1.25092692352511e-13,0.861,0.599,1
0,"Atp2b4",0.981417363655633,0.00159641109995229,0.226,0.149,2
0,"Slc17a7",0.936706048839172,2.28542443754816e-13,0.846,0.593,3
0,"Gabra6",0.909357918853199,1.71016726236114e-09,0.829,0.557,4
1,"Grin2c",1.69510999176808,1.2256429665695e-20,0.834,0.44,1
1,"Aifm3",1.61765491995261,7.80709290016607e-07,0.599,0.321,2
1,"Car4",1.56850568204831,1.65373450504216e-06,0.559,0.264,3
1,"Tmem266",1.54246314270494,0.00256193583499386,0.315,0.155,4
2,"Calb2",2.02368252534312,8.7512330734654e-20,0.749,0.283,1
2,"Calm2",1.92799432945882,5.2778530612384e-10,0.467,0.113,2
2,"Phyhip",1.82385522869748,2.13999500225687e-19,0.865,0.323,3
2,"Tubb4a",1.81915662866629,8.36658130533316e-33,0.954,0.485,4
3,"Nebl",1.57139878836674,1.47731615379653e-07,0.646,0.414,1
3,"Arpp21",1.34104584402292,1.52935792984286e-16,0.978,0.83,2
3,"Csmd2",1.2132808802484,0.000141587638826065,0.546,0.387,3
3,"Peli2",1.14509017018795,0.00433784572621866,0.517,0.365,4
4,"Adra2c",2.38054108072399,0.000169815506184316,0.35,0.083,1
4,"Tubb2b",1.98292043493313,1.06776102850533e-28,0.887,0.417,2
4,"Ube2ql1",1.93196284932573,2.43791502071531e-17,0.724,0.311,3
4,"Basp1",1.87959971525582,7.71728921810702e-16,0.82,0.337,4
5,"Pax2",5.2426893039165,2.50750021933995e-05,0.254,0.01,1
5,"Lbx1",5.04980738370794,1.04680380623316e-07,0.2,0.008,2
5,"Slc6a5",4.98958452401228,1.36440513778039e-06,0.214,0.01,3
5,"Scube1",4.89446422883915,1.88652965308345e-08,0.252,0.011,4
6,"Kif4",5.63638917045263,0.0405153035805103,0.149,0.004,1
6,"Neil3",5.62850491292076,1.7449272274613e-06,0.272,0.009,2
6,"Ncapg",5.485832936446,0.0016348813707071,0.184,0.006,3
6,"Cdca5",5.46806429880452,0.0108235534240623,0.153,0.004,4
7,"Nhlh1",3.62896994944055,1.44141551098155e-25,0.603,0.065,1
7,"Chrna3",3.46644673283558,2.24495878110683e-05,0.35,0.036,2
7,"Sox11",3.33976063014772,2.97614287126475e-38,0.884,0.186,3
7,"Pdzrn3",3.28050105509726,3.95755894364187e-12,0.42,0.063,4
8,"Itih3",6.59641415341093,7.81812361272998e-20,0.46,0.008,1
8,"Ttll8",6.58078009901413,0.00135161988518942,0.156,0.001,2
8,"Slc7a10",6.33204452623808,7.38699001684049e-63,0.942,0.041,3
8,"Msx2",6.23630631722113,4.90597999590493e-12,0.313,0.005,4
9,"Cck",4.5872309627085,0.000100147595285884,0.15,0.009,1
9,"Slc1a6",4.41028714636078,5.20812680034488e-16,0.518,0.097,2
9,"Calb1",3.87800711341813,2.27155422678318e-23,0.594,0.123,3
9,"Atp2a3",3.74637926787495,3.53296451688153e-07,0.27,0.03,4
10,"S100a3",8.40945476392332,9.91649557988969e-10,0.226,0.001,1
10,"C1ql2",7.95821873023304,0.00151031120447367,0.159,0.001,2
10,"Rbpjl",7.90418017533346,0.00151031120447367,0.13,0.001,3
10,"Tmem255b",7.7286104444341,7.1503417631669e-11,0.235,0.001,4
11,"Galnt6",7.83322806972555,3.67684973216289e-11,0.281,0.001,1
11,"Tnni1",7.49815031854791,9.99339084509288e-15,0.374,0.004,2
11,"Hapln2",7.4540604946354,3.50849198173153e-12,0.324,0.005,3
11,"Mag",7.3438235737021,4.26677449660445e-63,0.928,0.072,4
12,"Hcar1",9.77883827822848,0.00272003710582071,0.113,0,1
12,"Fam180a",9.70837649346495,0.00876526629744102,0.122,0,2
12,"Spo11",8.72736921055189,0.0499394519516967,0.122,0,3
12,"Slc6a13",8.7255068848533,3.82117855214345e-29,0.561,0.004,4
13,"Vwde",7.34075435908276,0.00876526629744102,0.121,0.001,1
13,"Vmn2r5",6.23233605921188,0.00023175663690426,0.153,0.002,2
13,"Stac2",6.01899397651194,3.62839450918404e-22,0.472,0.011,3
13,"Chst9",5.88315411968716,6.80738745887677e-06,0.165,0.004,4
14,"B3gnt3",9.22273526692424,0.0156857510600033,0.12,0,1
14,"Ushbp1",8.40347627834203,3.67638775535933e-45,0.743,0.003,2
14,"Abcc6",8.38905762459425,1.41951416895656e-23,0.469,0.002,3
14,"Cldn5",8.34982843093386,9.38444758694245e-69,0.992,0.049,4
15,"Ly9",10.3285565766247,1.07383036581343e-06,0.206,0,1
15,"Vav1",9.85212011413291,6.43846311384034e-17,0.361,0.001,2
15,"Lilrb4a",9.8520284424539,3.09269849897282e-07,0.197,0,3
15,"P2ry13",9.80686147075324,5.71594571391845e-22,0.459,0.001,4
16,"Prkag3",8.6009169731176,3.75262685309479e-13,0.318,0,1
16,"Slc9a3",8.14878329569047,6.56676467105086e-59,0.97,0.005,2
16,"Clic6",7.65974709956321,3.77822614028242e-39,0.712,0.005,3
16,"Sycp1",7.5607274808238,2.37271014627405e-31,0.606,0.002,4
