Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000051951,Xkr4,0.33693911868772713,-0.678544831508881,0.000036259113981847025,0.5393036387031397,0.678544831508881,0.0000362591139818326
ENSMUSG00000025900,Rp1,0.004720333162535412,3.7657918732282143,0.000000000000000000000000000004203406976418828,0.00033517939012003714,-3.7657918732282143,0.000000000000000000000000000004203406976418828
ENSMUSG00000025902,Sox17,0.4363557060925374,4.657596519563577,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030454898375262877,0.01727570439910358,-4.657596519563577,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030454898375262877
ENSMUSG00000025903,Lypla1,0.15070315201125328,-0.3636688414414122,0.032178601337990276,0.1939292088002848,0.3636688414414122,0.032178601337990276
ENSMUSG00000033813,Tcea1,0.38292616814850156,-0.24256360346214478,0.16183939278854653,0.45305080897891686,0.24256360346214478,0.16183939278853712
ENSMUSG00000002459,Rgs20,0.1307213735931586,1.273743093478482,0.00000000000000005742519036755898,0.054061642464777654,-1.273743093478482,0.0000000000000000574251903675394
ENSMUSG00000033793,Atp6v1h,0.9834510073601387,-0.9138278968310949,0.00000002495638142170836,1.8528716685835653,0.9138278968310949,0.000000024956381421706944
ENSMUSG00000025905,Oprk1,0.024325643291593535,-2.6722920705605615,0.000000000000000000000000000000000000000000000007703532521738379,0.1552299550493422,2.6722920705605615,0.000000000000000000000000000000000000000000000007703532521738379
ENSMUSG00000033774,Npbwr1,0.011989067050856814,-0.3035044661850108,0.14274185683610122,0.014817722204889975,0.3035044661850108,0.14274185683610122
ENSMUSG00000025907,Rb1cc1,0.37444115209560047,-0.5902107259327415,0.00033681905626826227,0.5637298367581375,0.5902107259327415,0.0003368190562682443
ENSMUSG00000087247,Alkal1,0.00005791819831331794,-1.4504042821443264,0.11328747488010812,0.00022345292674669142,1.4504042821443264,0.11328747488010812
