Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000051951,Xkr4,0.19942742164107766,1.3526465365306857,0.000005641863107815042,0.09272433410919312,-1.0511482049729648,0.002112111781703773,0.023103386010428086,-2.989364811572642,0.0005801914469895694
ENSMUSG00000025900,Rp1,0.000041618188231590756,-4.7825902445186035,0.0000000000000000018138314481903394,0.0001302308063331364,-0.6863545006944047,0.45910925347653403,0.005694496551866077,6.6135195971457765,0.0000000000000000000000000015081057222061417
ENSMUSG00000025902,Sox17,0.00549360084656998,-5.011545141910092,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002084969203853672,0.010244823431540062,-1.89062001825791,0.0000004986818373738232,0.8039002132220082,7.0293747190256415,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011445269911593536
ENSMUSG00000025903,Lypla1,0.042180033772717236,-0.1286755412934779,0.7143259471234044,0.03620416416061192,-0.27512405657607797,0.5716391171824844,0.08313964965724473,1.009800536948545,0.05014533498015987
ENSMUSG00000033813,Tcea1,0.09068603215663626,0.03850355644808756,0.9986067998124862,0.08239269014009763,-0.15047162144646498,0.7750011201642099,0.11031053320472001,0.30271476561290944,0.6341457240266621
ENSMUSG00000002459,Rgs20,0.01933858479827917,-1.8772109074988728,0.0000000000000005894946725137196,0.08703758889931283,2.195783491760163,0.00000000000000000038546626046391703,0.011063593300768379,-1.3529670462801375,0.17425327502417737
ENSMUSG00000033793,Atp6v1h,0.2895793537154085,0.3263781973692721,0.32437861179978233,0.2498260968157333,-0.186249183332309,0.6938106315306688,0.16009670305817772,-0.8262587730520905,0.37585181646481647
ENSMUSG00000025905,Oprk1,0.0015606820586846534,1.1233185919224677,0.01939864666355973,0.0008682053755542427,-0.721898617552073,0.227468653427474,0,-3.1769918147484137,0.04007549300891625
ENSMUSG00000033774,Npbwr1,0.0003606909646737866,-2.1312113448283974,0.00000006978847036530534,0.001996872363774758,2.532631319198794,0.0000000007393175277580697,0,-1.8638339294887842,0.33784195696740194
ENSMUSG00000025907,Rb1cc1,0.19564710287670817,0.7293532384133656,0.015835646849900693,0.11859685430070954,-0.6974474903395693,0.04933555069238207,0.11567962995362231,-0.6758828252266271,0.6622424785370031
ENSMUSG00000087247,Alkal1,0.000020809094115795378,-1.3045429477139585,0.6335958818994244,0.000043410268777712136,1.705962922084355,0.5748637695127354,0,2.4435945957034644,1
ENSMUSG00000033740,St18,0.21353598745158692,1.1939328751865417,0.00005840803921759254,0.11013185188905568,-0.9032376508896656,0.00887964000200344,0.030262181675631154,-2.7118135184386913,0.0016220700653290065
ENSMUSG00000051285,Pcmtd1,0.12171932784799244,-0.0827258783456104,0.8275684219954565,0.13175016574035633,0.11633521177265838,0.7877199606450506,0.11812012847585063,-0.05790149722337912,1
ENSMUSG00000025909,Sntg1,0.005125973517190929,0.4454787992776934,0.25249816020485844,0.004601488490437486,-0.08978849205309469,0.978830496385927,0.0004880997044456638,-2.9589911625291236,0.005915058021376792
