"CellType","DTA_mean","DTA_ci_lower","DTA_ci_upper","CTL_mean","CTL_ci_lower","CTL_ci_upper","Log2FC_mean","Log2FC_ci_lower","Log2FC_ci_upper","Significant"
"Granule",0.620784219681665,0.61596989869638,0.625475342760826,0.748751250556674,0.744377122613434,0.753032549843863,-0.270401882895046,-0.284308038549169,-0.256379352402716,TRUE
"Oligodendrocytes",0.0625776886040685,0.0602095600221148,0.0649350060626987,0.0853509444104875,0.0826572535236556,0.0881238371833948,-0.447870144835667,-0.519378516202585,-0.37553698665506,TRUE
"Bergmann_glia",0.211091614183131,0.20709490443906,0.215047474244133,0.0738329969379534,0.0712846087056887,0.0764233958110364,1.51577572901785,1.46025931068681,1.57266429638667,TRUE
"Astrocytes",0.00122080381192311,0.000903818745252723,0.00157814271595272,0.00098909947306212,0.000707530831225022,0.00131196401282632,0.30941864974488,-0.288815492205062,0.906497177094911,FALSE
"Interneurons",0.0443196581840713,0.0423639820873476,0.0463520397904305,0.0451244015198688,0.0430700094469649,0.047185812153407,-0.025946393036836,-0.11829471412924,0.0676014783834155,FALSE
"Endothelial",0.00910408846723733,0.0082003512483666,0.0100473366534235,0.0139529453374371,0.012824587787601,0.0151167885523045,-0.616952097934407,-0.807509942957336,-0.429276499592178,TRUE
"Purkinje",0.0289035624303766,0.027291204427725,0.030522824603151,0.0127476558339427,0.0116235719697746,0.0138854852829423,1.1823514683492,1.03098848457641,1.33648406360104,TRUE
"OPC",0.00805649643306784,0.00720936656584109,0.00893461549918304,0.0065770578553128,0.00579300102132341,0.00739793388467635,0.293682018486363,0.0584979530809734,0.533755906377993,TRUE
"Microglia",0.00465584522084763,0.00402200812412549,0.00531470780926719,0.00502485693971991,0.00435463459671318,0.00576307184593606,-0.109989607202198,-0.394615389284898,0.1764219818305,FALSE
"Fibroblasts",0.00928602298361137,0.00836526374214111,0.0102475425484301,0.00764879113554209,0.00680893923306981,0.00852544562963409,0.280605291060379,0.0626125460057428,0.498406327908626,TRUE
